outcode,epc,hpr,lat,long
CH4,63.2,0.89,53.165525,-2.9481695
CH3,63.0,0.9,53.1647192,-2.8197563
CH65,67.8,0.92,53.2771085,-2.9018402
CW7,67.4,0.94,53.1899294,-2.5290755
CH1,66.5,0.89,53.2022603,-2.9089758
WA6,62.9,0.89,53.2727629,-2.7247283
SY14,58.6,0.9,53.0312383,-2.7680979
CH64,61.7,0.88,53.2882069,-3.0476231
CH2,64.3,0.88,53.2178821,-2.8689752
CH66,65.4,0.93,53.2774095,-2.9364965
CW8,64.8,0.92,53.2534481,-2.5652379
CW10,59.4,0.9,53.1887768,-2.4436061
CW9,64.5,0.9,53.2584003,-2.5017811
CW6,60.8,0.91,53.1625246,-2.6672351
WA7,60.9,0.9,53.3305871,-2.7036909
WA16,54.8,0.88,53.3030431,-2.3722288
WA4,57.1,0.94,53.3653734,-2.5758118
CW4,46.3,0.8,53.2088755,-2.3556124
SY13,44.8,0.75,52.9521685,-2.6900901
CH62,75.7,1.1,53.334283,-2.981572
