outcode,epc,hpr,lat,long
LL60,51.2,0.89,53.2154645,-4.274545
LL61,52.5,0.87,53.1959058,-4.262625
LL58,53.4,0.85,53.2820716,-4.0992684
LL65,59.2,0.87,53.3010223,-4.5703675
LL77,61.8,0.92,53.2605503,-4.3124692
LL63,44.9,0.84,53.2184987,-4.4722288
LL72,47.4,0.86,53.352291,-4.2400479
LL68,53.2,0.85,53.3977575,-4.3794888
LL74,49.3,0.9,53.3191598,-4.2293713
LL59,60.0,0.88,53.2357839,-4.1631557
LL69,48.0,0.85,53.3860502,-4.3192563
LL78,49.8,0.88,53.3174138,-4.2630432
LL64,49.3,0.86,53.2287185,-4.5183068
LL62,45.6,0.81,53.2108742,-4.3859556
LL75,46.9,0.87,53.2849805,-4.2166075
LL67,47.4,0.85,53.4111466,-4.4576366
LL66,37.8,0.75,53.3797968,-4.4083964
LL71,51.4,0.85,53.3295165,-4.3709519
LL76,47.8,0.83,53.3007473,-4.2397465
LL70,46.8,0.89,53.3638741,-4.2877619
LL73,38.8,0.74,53.3352368,-4.2449087
