district,epc,hpr
LL60,51.2,0.89
LL61,52.5,0.87
LL58,53.4,0.85
LL65,59.2,0.87
LL77,61.8,0.92
LL63,44.9,0.84
LL72,47.4,0.86
LL68,53.2,0.85
LL74,49.3,0.9
LL59,60.0,0.88
LL69,48.0,0.85
LL78,49.8,0.88
LL64,49.3,0.86
LL62,45.6,0.81
LL75,46.9,0.87
LL67,47.4,0.85
LL66,37.8,0.75
LL71,51.4,0.85
LL76,47.8,0.83
LL70,46.8,0.89
LL73,38.8,0.74
