postcode,epc,hpr
LL60 6DZ,76.0,1.1
LL61 6QR,57.7,0.94
LL58 8AF,49.1,0.56
LL61 5FA,82.8,1.18
LL65 4RN,52.0,0.94
LL77 7LB,65.4,0.93
LL65 1AT,54.3,0.76
LL65 1TY,57.8,0.71
LL63 5RR,41.4,0.75
LL65 1LJ,63.6,1.0
LL65 1SA,60.6,0.83
LL65 2WB,69.9,1.04
LL58 8SP,35.3,0.58
LL72 8HD,49.0,0.88
LL68 9AU,59.9,0.84
LL65 2BN,63.1,0.91
LL74 8RB,50.0,0.9
LL68 0SS,46.8,0.93
LL65 3RA,36.6,0.79
LL65 2HG,65.8,0.94
LL59 5HY,53.4,0.8
LL77 7TS,67.0,0.96
LL61 6TG,62.6,1.02
LL72 8HT,39.8,0.75
LL69 9BZ,48.9,0.93
LL65 1RB,71.7,0.96
LL58 8NF,32.7,0.65
LL65 3AB,63.9,0.85
LL60 6LT,37.6,0.74
LL65 1RF,63.9,0.75
LL65 3AX,36.7,0.68
LL65 3NS,71.5,0.96
LL61 5QF,60.6,0.9
LL68 9PT,58.9,0.97
LL65 2YR,58.5,0.85
LL65 2FF,83.7,1.11
LL65 4NL,38.4,0.76
LL77 7RG,67.8,0.97
LL59 5RD,64.7,0.97
LL77 7EG,71.2,0.97
LL60 6EA,53.8,1.01
LL78 8JT,43.3,0.74
LL68 9BT,58.4,0.81
LL64 5YX,19.0,0.59
LL62 5EH,32.0,0.61
LL68 9NE,46.5,0.77
LL77 7LL,67.4,0.87
LL68 9BG,62.0,0.88
LL65 2LT,47.4,0.78
LL61 5YN,56.7,0.9
LL68 0SA,36.4,0.63
LL59 5YB,61.2,0.92
LL65 1HY,65.7,0.87
LL61 5JF,65.8,1.0
LL65 4TF,11.0,0.68
LL77 7EH,50.1,0.67
LL65 3LS,60.6,0.89
LL65 3FA,67.8,1.0
LL65 1HP,57.6,0.76
LL65 3EG,67.2,0.95
LL75 8UL,47.4,0.92
LL65 2DD,69.7,1.02
LL65 2TH,67.0,0.98
LL65 4UF,58.2,0.95
LL68 9PE,63.3,0.83
LL65 2NT,54.3,0.65
LL59 5PF,58.5,0.98
LL65 1RJ,82.7,1.06
LL65 3AE,67.2,1.03
LL65 1SL,67.5,1.0
LL65 1EE,73.7,0.98
LL65 3AP,65.9,1.0
LL77 7YS,38.0,0.78
LL65 2YJ,65.8,0.99
LL75 7DR,40.5,0.72
LL67 0HS,56.8,0.97
LL67 0DW,45.8,0.83
