outcode,epc,hpr,lat,long
CR4,65.0,0.78,51.4043894,-0.1591591
SW17,65.9,0.75,51.4307971,-0.1648874
SM4,63.2,0.79,51.393147,-0.1996608
SW19,64.5,0.77,51.4241552,-0.2029208
SW16,63.8,0.75,51.4212906,-0.1292383
SW20,63.8,0.75,51.4109597,-0.2277548
KT3,61.8,0.74,51.3995791,-0.2574604
SW18,71.4,0.87,51.4512533,-0.191462
CR7,58.7,0.66,51.3991799,-0.1067344
SM3,65.8,0.87,51.3712541,-0.2162485
CR0,83.5,1.04,51.3732242,-0.0775432
SW1V,91.0,1.02,51.4894932,-0.1399734
PO12,73.5,1.05,50.7979491,-1.1418001
SM19,73.0,0.73,nan,nan
