sector,epc,hpr,lat,long
BN2 0,65.7,0.78,-0.1254614615384615,50.82346710769233
BN3 1,62.5,0.69,-0.1574734795321637,50.82803944444445
BN1 4,65.2,0.76,-0.1378214494382022,50.83070021910112
BN2 9,64.9,0.74,-0.1278298111111111,50.82819619444449
BN2 5,69.5,0.88,-0.1053593137254902,50.82101029019607
BN41 2,63.9,0.88,-0.2208030045454547,50.84737951818182
BN1 7,65.8,0.84,-0.1289008260869565,50.84447333913042
BN3 6,60.8,0.79,-0.1668434380530974,50.84223423893805
BN41 1,61.9,0.79,-0.2137450384615385,50.83407010897433
BN1 6,61.9,0.75,-0.1445731207547169,50.84452528679246
BN1 5,60.4,0.75,-0.1580753209876543,50.84853201851851
BN2 3,62.7,0.71,-0.1262563874999999,50.83415968125
BN1 3,61.1,0.68,-0.1467945108695652,50.82804734239131
BN3 5,61.3,0.75,-0.1885623804347825,50.83388220108693
BN3 3,61.3,0.7,-0.169804200913242,50.83130785844745
BN2 1,63.6,0.7,-0.125564009478673,50.81942273459715
BN3 4,62.2,0.77,-0.1933228835616438,50.82918354109589
BN3 7,63.6,0.85,-0.1884145104166666,50.84146877083331
BN1 8,62.8,0.86,-0.1411455703125,50.86203583203128
BN1 1,60.5,0.76,-0.1399967835820895,50.82280868656718
BN2 6,62.8,0.88,-0.0705277225806451,50.83373840645161
BN2 4,66.1,0.86,-0.1100675387931034,50.8442282974138
BN3 2,60.8,0.67,-0.1711136829268292,50.82622014024394
BN1 9,64.7,0.9,-0.0995217266666666,50.86297736666668
BN1 2,61.8,0.69,-0.1500132615384615,50.8234456153846
BN2 8,62.2,0.88,-0.0359204011976047,50.80553350299404
BN2 7,61.9,0.86,-0.0605842869565217,50.80940564347826
BN3 8,64.6,0.89,-0.1962517593984963,50.84984371428572
GL51 9,79.0,1.08,-2.096183227678571,51.91561705803571
BN2 2,51.2,0.59,nan,nan
