outcode,epc,hpr,lat,long
WN8,63.6,0.88,53.5531891,-2.7694762
L40,62.5,0.91,53.6031134,-2.8417029
L39,61.7,0.88,53.5617461,-2.8964099
PR9,65.5,0.95,53.659666,-2.9686373
PR4,62.7,0.93,53.7546364,-2.8341777
PR8,67.9,0.97,53.6262751,-3.0097883
WN6,58.4,0.85,53.5752593,-2.6718
L37,37.7,0.7,53.5571245,-3.0636989
WN5,60.0,0.84,53.5319036,-2.6873957
L33,40.2,0.74,53.4900539,-2.8768007
PR7,61.4,0.95,53.6486409,-2.655302
L31,44.4,0.81,53.5134057,-2.9378113
WA11,21.0,0.65,53.4780797,-2.7197662
