postcode,epc,hpr
WN8 0HP,62.5,0.88
WN8 6LP,74.9,1.04
L40 5BD,69.6,1.0
WN8 6AB,65.2,0.85
L39 3PN,62.8,0.89
WN8 9AA,59.0,0.81
WN8 6EX,83.7,1.18
L40 3SL,58.3,0.65
L40 5BE,74.9,1.01
WN8 9JR,58.7,0.81
PR9 8SL,84.0,1.18
L39 1QJ,57.5,0.89
PR4 6SH,65.2,0.87
WN8 0QE,61.2,0.89
L39 1PW,65.1,0.97
L39 1PY,63.0,0.94
WN8 6EP,66.8,0.93
L39 3PX,62.0,0.68
WN8 8HX,63.7,0.81
WN8 6EF,65.7,0.9
WN8 8BS,55.7,0.74
WN8 7NU,59.3,0.82
WN8 9AF,67.8,0.93
L40 7TH,60.5,0.88
WN8 9EY,59.1,0.71
WN8 6TS,72.2,0.95
L40 8JQ,40.3,0.68
PR8 5BF,71.7,1.04
WN8 0BH,68.7,0.99
WN8 9HN,65.7,0.8
WN8 8AY,71.1,1.02
PR9 8GU,85.6,1.13
L40 1XE,67.1,0.99
WN8 8UH,59.7,0.88
L39 2DZ,60.1,0.9
PR4 6RT,62.8,0.92
WN8 9DU,64.6,0.91
L39 4UF,64.0,0.96
WN8 6AL,63.1,0.76
L39 4TH,51.3,0.88
PR9 8DT,65.2,0.93
L39 6ST,60.2,0.83
L39 2XH,61.2,0.88
WN8 8NA,62.0,0.85
PR4 6FD,84.0,1.18
L40 9QX,58.9,0.96
PR4 6EX,83.4,1.17
WN8 8HZ,61.0,0.72
PR9 8EZ,53.6,0.83
WN8 6RA,62.0,0.83
L39 8SE,56.0,0.82
WN8 6QB,59.7,0.78
WN8 6RL,58.6,0.82
L40 7TU,61.8,0.91
PR9 8BS,59.3,0.82
WN8 6EU,83.6,1.18
L40 7BE,84.3,1.18
L39 5AT,54.9,0.79
PR4 6EW,83.0,1.18
WN8 6QN,69.9,1.0
WN8 9NX,83.8,1.17
L39 3NG,60.2,0.88
L40 8HH,56.8,0.83
L40 5SN,51.8,0.66
PR9 8AF,32.6,0.78
L39 8RB,55.8,0.89
WN8 8NG,54.0,0.69
WN8 7RP,57.2,0.8
WN8 0HB,58.4,0.91
WN8 6PY,67.4,0.85
PR9 8AL,59.1,0.87
WN8 6JY,66.6,0.91
WN8 8BD,60.6,0.84
L40 5UX,65.8,1.0
WN8 6EN,65.6,0.95
L40 5UQ,39.7,0.66
L40 7TT,64.1,0.89
WN8 6RQ,55.7,0.78
L39 5AE,53.2,0.83
PR4 6NE,66.1,0.98
PR8 5BL,82.6,1.09
L39 3AY,63.1,0.93
PR4 6LT,72.1,0.99
WN8 6SS,74.8,0.92
WN8 6JS,68.8,1.02
L39 0EF,46.8,0.86
L39 1LG,60.8,0.87
L40 7AG,84.1,1.18
WN8 6AR,69.2,0.79
PR8 5BS,82.5,1.17
WN8 6SU,67.3,0.95
PR4 6AE,58.5,0.87
L40 0RT,37.5,0.72
L39 4QU,64.0,0.93
L40 9RP,73.0,1.02
WN8 9BU,65.1,0.85
WN8 6TL,70.4,0.93
WN8 9JA,64.5,0.82
L39 4SQ,56.6,0.83
WN8 9LA,83.2,1.13
PR4 6NB,65.6,0.98
WN8 8TR,55.1,0.78
WN8 8QG,60.9,0.91
WN8 7BE,56.1,0.87
L40 6JE,55.4,0.78
WN8 6PL,69.0,0.84
WN8 0JL,63.5,1.0
WN8 8ET,60.4,0.93
L39 4QJ,68.9,0.84
PR4 6XX,61.7,0.95
PR4 6RR,64.6,0.96
WN8 8NL,55.1,0.71
PR8 5HB,74.9,1.04
L40 7AB,84.4,1.18
PR8 5BJ,80.6,1.17
L39 2YA,76.5,0.97
WN8 8QS,59.3,0.83
WN8 8QJ,67.3,0.94
WN8 6TJ,69.2,0.95
WN8 0BQ,67.6,1.0
WN8 7AR,54.8,0.84
PR9 8DG,60.6,0.95
L39 2HD,62.0,0.95
PR4 6TA,61.0,0.89
WN8 6AS,64.0,0.8
WN8 8AG,64.0,0.9
WN8 6AD,62.4,0.78
L40 5TF,54.9,0.74
L40 5AA,84.4,1.16
L40 1UE,50.5,0.78
L39 8SH,63.1,0.93
WN8 0BU,84.5,1.18
L39 4RH,64.9,0.89
L39 5EF,62.3,0.9
PR4 6JL,28.0,0.79
WN8 8RA,67.6,0.97
PR4 6PL,68.5,0.94
WN8 6JG,65.9,0.92
WN8 0HU,66.7,0.97
WN8 6DT,74.2,0.97
L40 1SN,51.6,0.69
L40 1UR,61.5,0.97
WN6 9PX,58.8,0.93
L39 8SQ,68.9,0.98
PR8 5HH,71.2,1.01
L40 7TB,56.2,0.84
WN8 8LL,61.2,0.99
PR4 6AQ,57.6,0.84
WN8 7PF,63.2,0.88
WN8 6HN,83.6,1.18
WN6 9AR,57.0,0.74
L39 4TF,58.2,0.81
PR4 6TU,48.4,0.97
PR4 6FN,83.4,1.15
WN8 9DN,64.6,0.86
PR4 6RD,57.6,0.81
L39 5AP,62.1,0.9
WN8 8EQ,63.6,0.96
L39 5BN,56.9,0.87
PR4 6AY,58.2,0.93
L39 1PU,67.0,0.96
L39 2EF,55.8,0.82
WN8 6DG,74.7,1.05
L39 3AD,48.2,0.74
PR4 6EB,55.3,0.96
L40 9QN,61.1,0.86
PR4 6AP,62.3,0.9
WN8 6AU,59.9,0.91
L40 7SQ,60.7,0.85
WN8 6QH,62.1,0.8
WN8 6UD,65.5,1.0
L39 6RE,66.4,0.97
L40 7AQ,84.4,1.18
WN8 0JG,65.8,1.02
L40 7SD,65.3,0.92
WN8 6AY,66.9,1.02
L39 3PU,61.3,0.74
L40 7AD,84.4,1.18
PR4 6WE,67.3,1.02
L39 6RB,71.2,1.04
L39 1NQ,62.6,0.91
L39 2EL,59.8,0.76
L39 3AS,63.6,0.74
WN8 9LR,51.7,0.7
WN8 8JL,70.7,1.02
L40 8HW,56.8,0.72
PR4 6UH,64.1,0.91
WN8 9NP,61.8,0.91
L39 5AZ,58.9,0.87
L40 7RQ,57.8,0.78
L39 2BG,64.1,0.91
WN8 0PF,72.7,1.0
L39 4SL,60.6,0.82
L39 5AW,59.1,0.88
WN8 6TX,65.3,0.94
PR4 6HR,57.4,0.81
WN8 9DL,66.4,0.85
L40 7RG,58.8,0.78
L40 7TJ,68.5,0.96
L40 0TQ,75.0,0.97
WN8 8HH,55.3,0.84
WN8 6UH,63.5,0.96
L39 1LP,57.6,0.86
L39 4SD,63.5,0.9
WN8 6TQ,69.8,0.96
L40 9SA,65.0,0.96
L39 2XJ,59.6,0.8
PR8 5AS,82.6,1.15
PR4 6SA,63.4,0.85
WN8 0QB,75.5,1.09
PR4 6RP,54.9,0.89
WN8 6QZ,65.6,0.98
PR4 6RZ,60.2,0.97
WN8 6EL,75.5,1.0
PR9 8HE,64.2,0.92
WN8 6TU,68.5,0.97
PR4 6AS,58.7,0.88
L39 7JP,42.6,0.79
L39 1LQ,60.7,0.87
WN8 6TZ,64.4,0.94
PR4 6AW,68.4,1.01
WN8 9AQ,64.3,0.91
L40 0RH,65.0,0.95
WN8 6BX,60.7,0.74
L40 1UW,65.5,1.01
PR9 8BB,56.2,0.84
L39 5RF,77.3,1.0
PR4 6SP,55.4,0.88
L39 4SB,61.0,0.87
L39 9EL,28.7,0.64
WN8 6QU,66.0,0.97
PR8 4JQ,56.9,0.79
WN8 9HG,61.7,0.86
L39 3BP,80.9,1.04
L40 5TN,48.7,0.66
WN8 9HZ,62.6,0.87
WN8 6QD,60.7,0.79
WN6 9ED,63.0,0.95
L40 5BP,69.1,0.96
PR9 8EY,58.1,0.83
WN8 0NJ,63.2,0.89
WN8 8NH,54.8,0.7
WN8 0NL,62.9,0.83
L39 6RR,61.0,0.88
WN8 6HF,82.6,1.18
L39 3AZ,66.8,0.88
WN8 9ES,57.9,0.66
L40 8HZ,43.6,0.83
WN8 6AF,56.7,0.74
WN8 8QP,68.9,0.99
L40 9QH,54.2,0.8
PR9 8BG,66.2,0.94
WN8 7TW,51.4,0.78
L40 7RT,64.0,0.89
WN8 6DD,59.5,0.79
WN8 0AJ,72.3,0.97
L40 7SE,64.0,0.88
PR8 4HZ,66.1,0.91
WN8 0AQ,65.3,0.88
L39 0HL,40.1,0.69
L39 1PF,68.9,0.92
L39 5DQ,57.9,0.82
L39 1LL,64.4,0.95
WN8 8AS,83.7,1.18
L39 2BN,83.7,1.17
WN8 9EP,57.5,0.69
WN8 8HN,60.7,0.85
WN8 9EZ,58.5,0.7
WN8 6HG,83.1,1.18
PR9 8GT,81.8,1.16
L39 2ET,73.6,0.93
L39 3NS,65.2,0.93
L39 4AE,79.0,1.14
L40 5XD,49.8,0.6
L39 4XF,67.7,0.97
WN8 6SX,62.1,0.9
WN8 8JD,61.2,0.71
L39 8RJ,63.7,0.92
WN8 6DB,63.0,0.8
PR4 6AA,61.8,0.9
L40 4BG,45.2,0.85
WN8 8LA,64.8,0.87
L39 3NW,63.7,0.92
WN8 0HR,71.9,0.98
L39 4SZ,61.6,0.88
WN8 9LU,51.9,0.65
L39 2HG,62.9,0.96
L40 5UA,41.4,0.84
WN8 9HA,49.2,0.68
WN6 9EH,44.3,0.72
L37 5AB,40.2,0.76
L39 5EG,59.4,0.89
L39 4UN,80.3,1.04
L39 5ES,57.4,0.89
WN8 8UZ,53.7,0.87
PR4 6HH,62.3,0.96
PR8 5LN,62.2,0.86
L39 4AB,75.9,1.11
PR8 5QA,84.0,1.15
PR4 6RJ,61.6,0.87
L40 4LE,59.8,0.9
L39 4RE,54.8,0.76
WN8 6PA,63.0,0.85
WN8 8PD,62.0,0.92
WN8 8NW,56.9,0.71
WN8 9EB,70.0,0.99
WN8 6JE,61.7,0.89
WN8 6DN,65.3,0.81
WN8 9AW,52.1,0.87
L39 5ER,61.0,0.83
WN8 8DP,66.4,0.94
PR4 6JP,60.3,0.92
WN8 6QQ,63.4,0.81
L40 1SF,53.2,0.83
L39 1NX,58.8,0.81
L40 5SZ,62.0,0.89
PR4 6PT,64.7,0.99
L39 6RN,57.9,0.89
PR9 8BT,54.6,0.75
WN8 9NU,10.3,0.47
WN8 0AZ,82.4,1.17
PR8 5JG,73.4,0.98
L39 3BB,52.4,0.81
PR4 6JJ,54.9,0.83
WN8 9EN,51.8,0.72
WN8 8NY,58.9,0.72
PR9 8BN,57.0,0.89
WN8 6BB,63.0,1.0
WN8 0HS,68.8,0.83
L40 7TQ,58.2,0.85
WN8 9FT,83.2,1.18
PR9 8RY,83.1,1.17
L39 7JN,60.6,0.83
L39 6SF,53.6,0.76
PR9 8ET,57.0,0.81
L39 3PL,62.8,0.92
WN8 9NH,62.4,0.88
WN8 9NT,66.7,0.99
L40 0RQ,53.2,0.83
L39 5AY,59.8,0.87
PR4 6UW,63.6,0.98
PR9 8HG,53.6,0.81
L39 5HF,58.3,0.91
WN8 9QG,66.7,1.0
WN8 9LT,57.3,0.76
L39 7HS,40.2,0.81
PR4 6AL,62.1,0.91
WN8 6BE,69.9,1.02
L39 2BH,57.6,0.86
L39 1PN,62.2,0.93
L40 5UT,58.0,0.81
PR4 6DQ,58.9,0.92
WN8 6SG,59.1,0.88
L40 1SZ,57.6,0.84
WN8 6TE,61.9,0.88
L40 7ST,58.5,0.88
WN8 6RP,64.8,0.86
L40 5UJ,60.5,0.82
L40 5SA,65.2,0.9
WN8 8UP,54.0,0.8
PR8 3JG,54.4,0.84
L39 4TZ,53.0,0.67
L39 4QZ,52.3,0.77
L40 5UP,59.7,0.94
WN6 9AS,61.3,0.71
WN8 8HD,68.1,0.94
L39 1QA,65.1,0.87
WN8 6HS,83.7,1.18
WN8 8BB,69.1,1.01
L39 1LH,57.4,0.9
WN8 8QQ,66.0,0.77
WN8 8RB,63.0,0.93
L40 7UU,66.3,1.0
WN8 6HQ,83.1,1.18
L39 5DY,49.0,0.69
PR4 6DJ,57.8,0.97
WN8 8RE,64.8,1.01
L40 4BZ,49.0,0.7
L39 5AH,63.3,0.92
WN8 8BX,57.4,0.75
WN8 6EH,73.3,1.06
L39 1PQ,63.1,0.94
PR4 6WA,67.5,1.01
WN8 6JQ,65.0,0.91
WN8 9LX,51.4,0.64
PR4 6DW,65.6,0.94
PR9 8EX,59.2,0.83
L39 0EG,41.2,0.78
L40 9RS,53.7,0.81
L40 5BJ,69.8,1.0
PR4 6WD,66.4,1.01
L39 6SU,52.5,0.68
PR4 6BA,63.1,0.91
PR4 6UE,68.8,0.97
PR4 6ST,61.1,0.89
L39 8RG,51.2,0.78
PR4 6ND,68.4,1.01
PR4 6SB,62.9,0.94
L39 7JG,61.0,0.86
WN8 6DU,80.0,1.14
L39 1LX,52.2,0.64
L39 4RR,61.8,0.9
L39 8RT,58.0,1.01
L40 8HQ,64.3,0.79
L39 8SB,63.6,0.89
WN8 7LD,56.0,0.9
PR4 6NA,65.5,1.01
L39 2BA,60.3,0.76
WN8 8EJ,65.5,0.84
WN8 9EX,59.7,0.73
WN8 7RD,40.2,0.73
L39 2EY,60.3,0.82
WN8 7RS,45.8,0.76
L40 9RE,57.2,0.83
WN8 6BF,72.6,1.03
L39 4RD,52.4,0.67
L39 1QP,51.0,0.82
WN8 6XW,66.1,1.01
WN8 7NQ,52.5,0.78
L39 5RJ,84.3,1.04
L39 3BW,74.3,0.91
L40 1SL,42.0,0.86
WN8 6DR,60.3,0.77
L39 1NN,57.9,0.88
PR4 6BD,61.9,0.95
WN8 6PN,68.8,0.8
WN8 6DE,62.9,0.79
L39 1QE,58.2,0.83
L40 0RG,60.4,0.92
PR9 8RT,82.4,1.16
PR4 6HN,60.4,0.97
L40 9RT,73.8,1.04
PR4 6UQ,52.3,0.83
L39 3AU,59.8,0.77
L39 8RX,48.7,0.89
L39 2BQ,64.7,0.91
L39 1LN,57.9,0.75
L39 4TG,58.9,0.77
WN8 7ED,57.6,0.84
L39 5DZ,62.1,0.86
L39 4PY,80.2,1.03
PR9 8ER,57.1,0.83
L39 4QE,54.9,0.74
WN8 8NR,55.9,0.7
L39 5AS,60.3,0.76
L40 5BG,67.5,0.97
L39 1QB,60.2,0.88
L39 6RH,64.8,0.81
PR4 6XJ,64.6,0.94
L39 1NL,70.6,0.93
L39 8RH,47.3,0.86
L40 7AF,84.6,1.18
PR4 6HY,53.0,0.91
WN8 6AX,64.9,0.91
L40 7TG,63.9,0.91
L40 0SN,61.3,0.86
L39 4PS,81.1,1.06
L39 0HH,45.0,0.79
L39 2AP,59.3,0.79
PR4 6EN,82.4,1.15
L39 1LW,58.5,0.83
L39 4PL,78.1,1.02
WN8 6SN,55.6,0.83
WN6 9RT,59.4,0.85
WN8 8AJ,64.8,0.86
L39 2DS,59.1,0.82
WN8 9NQ,67.6,1.01
WN8 6EA,62.3,0.93
L39 0HR,39.8,0.73
L39 0EU,44.9,0.82
L39 1PL,61.0,0.86
WN6 9QB,59.0,1.02
WN8 6PZ,60.5,0.79
WN8 6TF,60.2,0.89
WN5 8TR,56.8,0.83
WN8 9DE,83.1,1.18
L39 7HD,38.9,0.75
PR4 6TT,71.5,0.97
WN8 6RE,68.7,0.87
L39 1NT,64.4,0.87
WN8 9LP,56.2,0.76
L39 7HH,44.6,0.85
WN8 6QA,65.2,0.84
L40 7RF,59.9,0.86
L39 5EZ,61.7,0.89
WN8 9ER,58.8,0.73
PR4 6RH,57.5,0.82
WN8 6HH,83.3,1.18
PR4 6TJ,66.8,0.98
WN8 6QY,62.9,0.75
PR8 5HD,75.0,1.04
WN8 6RB,59.0,0.76
WN8 8NN,50.4,0.67
WN8 8JB,64.9,0.83
PR4 6NH,66.8,1.01
L40 6JN,58.4,0.87
WN8 8AU,55.1,0.73
L40 4AL,65.0,0.9
WN8 6EJ,64.6,0.81
WN8 9DH,60.9,0.91
WN6 9PL,52.6,0.91
WN8 7DJ,61.7,0.87
WN8 7ND,53.3,0.77
WN8 6AE,64.2,0.75
WN8 6PD,63.1,0.82
WN8 7TG,42.3,0.77
L39 6RG,49.4,0.69
WN8 0LW,55.7,0.69
WN8 9JN,62.4,0.9
WN8 6GX,83.2,1.18
PR4 6HW,65.0,1.01
WN8 8TU,60.9,0.86
PR8 5BH,79.0,1.09
WN8 0AB,61.8,0.87
L39 6SN,57.4,0.84
L39 2EJ,83.1,1.16
L40 5SL,62.0,0.92
WN8 6RN,64.9,0.87
WN8 8HT,63.7,0.82
L39 5DE,58.8,0.9
WN6 9RP,55.2,0.91
L39 2BD,60.8,0.82
L40 7SG,61.9,0.89
L39 4SN,63.0,0.86
L39 5QB,66.5,1.0
L40 7UX,61.7,0.94
PR4 6RA,65.1,0.97
L39 7AB,79.1,1.16
PR9 8BJ,67.9,0.93
WN6 9RZ,57.8,0.87
WN6 9EG,59.3,0.93
PR9 8FF,70.1,1.01
WN8 8DW,65.8,0.92
L40 7AT,83.9,1.18
WN6 9RX,63.0,0.87
L39 2XF,52.5,0.79
L40 5TU,56.7,0.75
WN8 6TD,65.2,1.02
L40 5TW,70.9,1.0
WN8 0AD,59.7,0.86
WN8 8PE,67.8,0.92
WN8 0NY,55.2,0.83
WN8 9LZ,56.6,0.69
L40 1AA,85.1,1.18
WN8 7RX,58.0,0.71
L40 0RD,59.4,0.93
WN8 0LN,61.6,0.78
WN8 9JW,59.0,0.93
L39 6SY,47.4,0.81
L39 1PZ,64.2,0.93
WN8 0NS,63.1,0.93
WN8 8HL,59.0,0.84
L40 9PZ,66.9,1.0
WN8 6JT,70.7,0.92
PR4 6EP,83.0,1.13
L39 1PA,59.8,0.87
WN8 6ST,67.9,0.95
L39 3LS,58.0,0.88
L39 3LW,60.5,0.86
WN8 6SJ,66.3,1.0
L39 4RY,66.1,1.01
L39 1PB,60.7,0.85
WN8 7NN,57.9,0.8
L40 5SS,53.4,0.82
L39 3LR,65.0,0.87
WN8 6PW,57.5,0.59
WN8 9QU,60.3,0.93
PR9 8RS,83.4,1.17
L39 2DX,62.3,0.88
L39 4XP,67.3,1.0
L39 4QD,62.6,0.8
WN8 8DH,67.3,0.92
L39 5EY,60.2,0.9
WN8 8BQ,75.2,1.03
L39 0EX,42.1,0.76
WN8 6RS,62.2,0.82
L39 3PA,52.7,0.86
PR4 6NN,67.5,1.01
L39 6RD,64.2,0.92
L40 3SZ,37.0,0.68
PR4 6UL,56.9,0.87
L39 1LB,54.6,0.78
PR4 6XT,55.6,0.96
WN8 7DH,57.8,0.86
WN8 6UL,66.3,0.93
L39 1LR,60.3,0.89
WN8 8NS,57.1,0.71
L39 0HD,40.6,0.64
L39 1PX,61.5,0.76
PR4 6BL,60.3,0.9
L39 4QW,53.9,0.78
L40 6JA,58.2,0.86
L39 1LJ,63.6,0.94
L39 2YX,64.9,0.99
WN8 8BU,36.3,0.59
WN8 9AH,60.5,0.89
WN8 6TB,66.4,0.99
WN8 9AE,62.3,0.82
PR9 8AT,63.8,0.94
WN6 9LJ,60.0,0.86
L39 4SX,57.1,0.75
WN6 9AQ,51.9,0.78
WN8 6AA,63.6,0.8
L40 7TN,62.3,0.95
L40 1TY,44.6,0.8
PR9 8FL,64.9,0.97
WN8 8QW,65.3,0.83
PR4 6SE,53.1,0.82
WN8 8TX,56.9,0.84
WN8 9DT,64.0,0.84
PR8 3DN,56.5,0.84
L39 3LG,55.8,0.76
L40 7RP,64.0,0.94
WN8 8AF,63.0,0.92
L39 4QF,60.4,0.66
L40 7RA,55.9,0.81
L39 1RS,61.6,0.9
L39 0EY,33.3,0.75
WN8 9HJ,56.3,0.85
PR4 6RS,59.4,0.78
PR4 6HA,60.7,0.99
L39 1NR,58.5,0.87
WN8 6SY,68.7,0.96
WN8 6EB,65.2,0.93
WN8 8TY,55.5,0.84
L39 4SE,61.6,0.91
L40 5BL,72.8,1.01
WN8 6EW,83.8,1.18
L40 1TN,59.8,0.88
PR8 5QD,84.1,1.17
L40 1UA,53.1,0.84
WN8 9BD,60.2,0.86
WN8 8JE,74.6,0.94
L39 1PG,63.3,0.9
WN8 8JQ,64.8,0.97
PR4 6DA,56.6,0.94
L37 5AL,18.1,0.48
WN5 8UD,53.2,0.78
PR4 6AF,62.7,0.95
L39 5BD,59.1,0.91
WN8 7AS,57.6,0.76
WN8 9LY,54.0,0.7
L39 6SJ,58.2,0.88
WN8 8PY,61.0,0.89
WN8 6DJ,72.5,1.04
WN8 7NT,63.6,0.87
WN8 7PD,55.7,0.85
WN8 6QG,61.1,0.74
PR4 6NG,60.3,0.89
WN8 8LQ,57.9,0.88
L39 2DD,60.3,0.78
PR4 6AH,65.3,0.97
L39 5EX,63.2,0.93
WN8 6SZ,66.5,0.96
WN8 0HL,67.6,0.95
WN8 6BZ,63.2,0.77
L39 5AD,46.5,0.79
WN8 0AX,61.8,0.95
PR4 6PE,58.0,0.85
WN8 8HJ,51.8,0.78
L39 6SS,59.6,0.8
WN6 9RD,59.1,0.87
WN8 8RW,73.6,0.97
WN8 9NB,53.8,0.73
PR4 6UP,58.6,0.86
WN8 9QR,65.3,0.86
WN8 8EL,61.4,0.79
L39 5AN,68.1,0.91
L39 4XB,74.2,0.99
L40 4BL,36.2,0.75
PR4 6UR,55.3,0.89
PR4 6LA,61.0,0.94
WN8 8AH,65.8,0.94
L40 4BD,55.0,0.78
L39 6RA,65.6,0.94
WN8 0JH,65.2,1.01
WN8 0QP,59.4,0.87
WN5 8UQ,57.1,0.8
WN8 0AA,53.1,0.74
WN8 6PR,68.9,1.0
WN8 8BZ,58.8,0.7
