district,epc,hpr
LS28,62.6,0.84
LS7,64.4,0.83
LS12,62.4,0.83
LS8,57.7,0.72
LS23,64.6,0.9
LS6,61.2,0.72
LS9,60.1,0.77
LS14,65.2,0.9
LS27,64.6,0.89
LS17,61.9,0.85
WF3,66.1,0.92
LS29,70.3,1.0
LS13,62.7,0.86
LS5,62.2,0.81
LS10,68.2,0.93
LS11,61.5,0.76
LS2,68.9,0.9
LS22,65.0,0.92
LS3,69.4,0.86
LS16,63.9,0.87
LS4,59.3,0.69
LS15,62.7,0.88
LS19,61.9,0.84
WF10,70.8,0.96
LS26,64.4,0.89
LS18,63.3,0.85
LS20,64.3,0.87
BD4,60.9,0.85
LS25,64.3,0.88
LS21,60.9,0.82
BD11,64.3,0.9
LS1,72.6,0.97
WF12,57.3,0.81
BD10,50.9,0.7
BD3,60.8,0.84
LS24,48.1,0.84
WF2,33.1,0.72
PE7,86.0,1.01
WF17,57.8,0.78
BD16,63.0,1.0
HG2,86.7,1.13
CM7,84.0,1.08
NN8,83.0,1.08
LS75,81.0,1.16
