outcode,epc,hpr,lat,long
OX7,61.6,0.87,51.9104488,-1.5287932
GL7,50.3,0.75,51.7113826,-1.8967753
OX20,61.6,0.84,51.8558919,-1.3577401
OX28,68.5,0.96,51.7869462,-1.4860576
OX18,66.6,0.94,51.7628074,-1.5916671
OX29,66.0,0.94,51.7940797,-1.435656
OX5,60.7,0.85,51.8306381,-1.2818093
GL56,44.5,0.72,51.9895485,-1.7034227
OX25,42.0,0.65,51.9002711,-1.2130366
SN7,45.0,0.78,51.6484265,-1.5662623
OX15,31.0,0.57,52.0303387,-1.4113905
OX13,21.0,0.43,51.6758174,-1.3577318
OX1,85.0,1.18,51.7451905,-1.2614253
OX76,61.0,1.03,nan,nan
