outcode,epc,hpr,lat,long
HG5,63.4,0.89,54.013486,-1.4579043
HG1,62.8,0.81,53.9999818,-1.5353201
HG2,61.9,0.83,53.9855934,-1.5286679
YO26,57.3,0.92,53.9757464,-1.1783526
HG4,60.7,0.87,54.1569575,-1.5666498
HG3,63.0,0.92,54.0300146,-1.6178422
YO51,67.8,0.98,54.0900779,-1.3947245
LS21,56.1,0.89,53.9116086,-1.6804367
LS17,48.0,0.82,53.8600575,-1.5277566
YO7,62.8,0.93,54.2246863,-1.3514255
LS29,59.3,0.91,53.9189109,-1.800672
LS22,55.9,0.85,53.9317926,-1.3956826
YO61,47.4,0.82,54.1179291,-1.1960242
LS24,54.2,0.87,53.8687779,-1.2530036
YO23,55.5,0.86,53.9234845,-1.1234069
HG22,80.0,1.11,nan,nan
