outcode,epc,hpr,lat,long
EX16,61.2,0.89,50.9226683,-3.4916806
EX15,62.9,0.94,50.8776038,-3.3405027
EX17,59.4,0.9,50.8116834,-3.7053311
EX18,54.3,0.88,50.9020189,-3.8876032
EX5,58.0,0.87,50.7561717,-3.4348553
EX6,53.7,0.92,50.6765895,-3.5972315
TA21,47.3,0.8,50.9777888,-3.2445571
EX14,52.7,0.87,50.8140317,-3.1914327
EX20,43.9,0.87,50.7519249,-4.019293
TA22,47.5,0.83,51.0456933,-3.5451925
TA4,60.9,0.86,51.074692,-3.2714873
EX94,83.0,1.15,nan,nan
EX36,52.0,1.02,51.0166843,-3.796052
EX30,79.0,1.17,nan,nan
