outcode,epc,hpr,lat,long
NR32,62.5,0.85,52.489723,1.7315777
IP18,60.1,0.85,52.3304822,1.6707696
IP11,63.5,0.89,51.9675191,1.3411933
IP12,61.3,0.9,52.0933236,1.3698157
IP19,58.6,0.89,52.3402509,1.4942442
NR34,60.2,0.87,52.4387601,1.5835599
NR33,61.9,0.85,52.4540969,1.7167978
IP5,67.8,0.97,52.0619388,1.245372
IP17,60.1,0.9,52.2304463,1.5018473
IP15,61.6,0.86,52.1562567,1.595477
IP16,64.4,0.91,52.2041101,1.5840513
IP10,60.5,0.89,52.0189774,1.2699895
IP13,59.6,0.89,52.18917,1.3206039
IP6,54.6,0.88,52.1326541,1.110843
IP4,65.7,0.96,52.0604324,1.1802287
NR35,61.2,0.88,52.4618856,1.4328948
IP3,65.2,0.96,52.04135,1.18801
IP20,50.1,0.8,52.4065354,1.3191966
NR31,48.2,0.68,52.5749904,1.708835
