sector,epc,hpr,lat,long
DL16 7,68.6,0.95,-1.6162868239202657,54.69344881063126
DH1 1,65.6,0.92,-1.5488124473684208,54.78402120614031
DH8 9,54.0,0.82,-1.9273603090128764,54.8479660901288
DH6 3,65.7,0.97,-1.4266514450549443,54.74690140109891
DL13 5,47.5,0.78,-1.83529691935484,54.62333111290323
DL4 1,61.5,0.83,-1.6514678733333332,54.63138485333335
DL16 6,65.8,0.91,-1.5948580602836886,54.70480471631209
DH9 7,61.4,0.8,-1.715768731225296,54.85987786166009
DH9 9,63.3,0.89,-1.73774399578059,54.88149170886074
SR8 1,67.8,0.94,-1.3450051602564106,54.75178455128206
DH2 3,65.3,0.92,-1.5964387478260882,54.84278246521739
SR8 4,63.5,0.92,-1.3165130384615389,54.7643201201923
DL13 2,54.7,0.8,-2.013772964980545,54.74651154085608
DL17 8,62.6,0.88,-1.551727519417476,54.68766683980584
DL15 9,63.6,0.89,-1.7502261679687503,54.71976412890624
SR7 7,66.9,0.94,-1.3377445158730157,54.8345438373016
SR7 8,64.5,0.95,-1.3611998325123154,54.82959861576358
DL14 6,65.1,0.93,-1.678890498141263,54.6509525836431
DH8 7,65.6,0.92,-1.812947225108225,54.84798639393941
DH7 8,66.6,0.94,-1.6276231518518527,54.75048151481481
DL14 0,60.3,0.87,-1.7417933437499986,54.65417265624997
DH9 6,66.5,0.93,-1.6800123094339634,54.86313662264155
DH6 2,65.6,0.96,-1.401889394833948,54.77675602952024
DL4 2,65.6,0.91,-1.637461467105262,54.62906669078946
DH7 7,65.2,0.95,-1.6403471512195116,54.77700296097564
DL15 0,63.4,0.91,-1.6963139248120298,54.70836562781955
DH8 8,65.3,0.92,-1.8585566594594591,54.85217835675678
DL5 5,66.5,0.93,-1.5662389127906988,54.61727140697671
DL14 8,61.9,0.87,-1.640730742063493,54.66174948412696
SR8 3,64.6,0.91,-1.3404728600823046,54.7863047201646
DH9 0,61.6,0.85,-1.68136268556701,54.87555115463918
DH3 3,64.2,0.89,-1.5730968779342729,54.85520536619719
DH1 4,64.7,0.83,-1.589591211453745,54.77678523788544
TS27 4,62.2,0.91,-1.3019193026315792,54.73948447807021
DL12 9,55.2,0.84,-1.968425740425532,54.54410428085111
DH4 6,69.2,0.99,-1.5069766066176475,54.83997328676473
DH8 5,66.2,0.89,-1.836839878504673,54.855291364486014
DH3 4,62.1,0.92,-1.5491418411764706,54.84981931764708
SR8 5,67.6,0.94,-1.3311170000000003,54.761405865591406
DH6 4,65.6,0.96,-1.494531419642858,54.7203463482143
DL2 3,54.3,0.79,-1.7569035652173894,54.56429766521738
DL14 9,66.0,0.93,-1.724227037656904,54.63039161087869
DH2 1,65.2,0.94,-1.6075369159292034,54.8783176238938
DH1 3,66.8,0.91,-1.578371953488371,54.76811532093026
DL13 4,58.3,0.84,-1.8165723806451612,54.75102702580644
DH6 1,63.8,0.94,-1.4865869183673466,54.77755658673472
NE16 6,63.4,0.89,-1.7311933742690075,54.90452633333332
DH2 2,67.9,0.98,-1.596045667984189,54.85889564822132
SR7 9,65.0,0.95,-1.3900971688311694,54.817854298701306
DL5 4,68.9,0.98,-1.5700588675213678,54.62788388461539
