district,epc,hpr
M40,66.1,0.89
M12,66.0,0.85
M21,62.1,0.82
M1,72.5,0.95
M22,67.1,0.93
M20,63.8,0.84
M19,60.6,0.79
M14,63.2,0.8
M23,66.6,0.93
M4,74.8,1.01
M13,65.0,0.85
M18,63.3,0.82
M15,74.9,0.98
M9,65.2,0.87
M8,62.9,0.82
M3,75.6,1.0
M16,62.5,0.82
M11,67.2,0.9
M33,63.9,0.9
M2,67.9,0.96
M7,66.5,0.89
M25,66.4,0.76
WA15,62.7,0.9
M43,71.5,0.97
M24,65.9,0.79
SK8,58.7,0.7
TA1,87.0,1.05
M60,73.0,0.96
M35,56.0,0.74
M41,71.0,1.02
DE7,77.0,1.1
MK4,84.0,1.11
UB3,83.0,0.92
M32,73.0,1.02
