outcode,epc,hpr,lat,long
WV6,59.7,0.81,52.5968273,-2.1827471
WV10,64.6,0.88,52.6191468,-2.1134738
WV1,63.5,0.85,52.5864721,-2.1158825
WV12,62.4,0.9,52.6058407,-2.0403978
WV14,66.3,0.92,52.5572984,-2.0789308
WV11,63.7,0.87,52.6105811,-2.0719935
WV4,60.2,0.83,52.5614099,-2.1447119
WV13,60.6,0.83,52.5851575,-2.0581222
WV3,57.8,0.77,52.5790352,-2.1565201
WV2,65.5,0.87,52.5736442,-2.118343
WV9,65.5,0.94,52.6376624,-2.1435341
WV8,70.8,0.94,52.6259036,-2.1876739
DY3,61.6,0.85,52.5308396,-2.1312352
HP19,80.5,1.1,51.8236624,-0.8280878
TS3,83.0,1.13,54.5605009,-1.1968742
WS10,70.0,1.01,52.5606417,-2.0224958
