outcode,epc,hpr,lat,long
SE1,72.0,0.87,51.4991997,-0.0916245
SE16,72.7,0.92,51.4965989,-0.053091
SE17,70.6,0.81,51.4882787,-0.0933945
SE15,67.5,0.79,51.4727365,-0.0656967
SE5,66.6,0.76,51.4738341,-0.0914963
SE19,62.6,0.78,51.4179954,-0.0861287
SE22,62.6,0.7,51.4544389,-0.0724071
SE11,64.9,0.72,51.4898569,-0.1115597
SE4,71.4,0.82,51.4610268,-0.0352253
SE24,56.1,0.61,51.4563048,-0.1002302
SE21,58.9,0.69,51.438989,-0.0887527
SE26,61.4,0.77,51.4279399,-0.0547761
SE23,63.5,0.72,51.4414858,-0.0491513
SE8,68.6,0.8,51.4819486,-0.0294902
SE14,69.2,0.81,51.4758845,-0.0424768
SE7,81.0,1.13,51.4842259,0.0340854
BS10,65.0,1.08,51.5067451,-2.610823
