outcode,epc,hpr,lat,long
EX11,64.0,0.93,50.7468054,-3.2895514
EX13,60.6,0.91,50.7871097,-3.0071442
EX5,68.3,1.01,50.7561717,-3.4348553
EX12,61.9,0.89,50.7068721,-3.0818842
EX8,63.7,0.89,50.6297299,-3.4017306
EX9,60.1,0.86,50.6394596,-3.3240203
EX1,77.9,1.1,50.7280574,-3.5003048
EX10,61.4,0.88,50.6931776,-3.2466004
DT7,57.2,0.88,50.7294287,-2.9474704
EX14,60.0,0.92,50.8140317,-3.1914327
EX24,56.9,0.86,50.7404493,-3.0893775
EX15,55.3,0.9,50.8776038,-3.3405027
EX3,67.2,0.96,50.6868408,-3.4596319
TA20,41.6,0.77,50.8735523,-2.9622162
EX4,51.3,0.86,50.7313128,-3.526701
EX2,56.0,0.84,50.7095079,-3.5143056
TA3,52.5,0.84,50.9936898,-3.037039
