outcode,epc,hpr,lat,long
TW2,60.7,0.72,51.446354,-0.3544949
TW12,62.6,0.81,51.4228861,-0.3697391
TW1,61.9,0.73,51.4510989,-0.3257026
TW9,63.2,0.75,51.4694559,-0.2927343
SW13,61.9,0.71,51.4761464,-0.2438054
TW3,59.0,0.68,51.4681228,-0.3638733
SW14,60.6,0.68,51.4653809,-0.2669998
TW11,64.1,0.78,51.4263148,-0.3317674
KT1,65.4,0.8,51.4074987,-0.2982129
TW10,61.8,0.73,51.4477641,-0.3029046
KT2,63.7,0.77,51.4189252,-0.2906684
TW4,67.2,0.83,51.4654671,-0.3879716
SW15,69.3,0.84,51.4570342,-0.2284869
KT8,66.7,0.85,51.4015316,-0.3631647
TW13,65.0,0.84,51.4389898,-0.4020137
TW7,61.5,0.73,51.4730054,-0.3358063
