outcode,epc,hpr,lat,long
HP19,70.6,0.97,51.8236624,-0.8280878
HP18,66.2,0.98,51.8202707,-0.9688388
HP22,65.6,0.94,51.8076076,-0.7693074
HP21,67.1,0.93,51.8052172,-0.8058581
LU7,61.7,0.9,51.9072379,-0.6629591
HP20,66.8,0.91,51.8200483,-0.8054056
MK18,64.5,0.94,51.978349,-0.9695075
HP23,49.3,0.83,51.7954966,-0.6612615
LU6,59.0,0.89,51.8780425,-0.5377989
HP17,65.7,0.94,51.7768478,-0.8843057
MK17,58.2,0.9,51.997579,-0.6993948
MK19,43.8,0.82,52.0751348,-0.8552011
OX27,52.8,0.87,51.9363464,-1.1505518
HP4,53.0,0.86,51.7678331,-0.5685998
NN13,53.7,0.83,52.0340435,-1.1480035
OX5,61.0,0.96,51.8306381,-1.2818093
HP16,68.2,1.07,51.7022351,-0.7196191
OX9,61.0,0.85,51.7379966,-0.9839931
MK3,44.2,0.73,51.9937256,-0.7517663
MK2,29.0,0.5,51.990521,-0.7252031
HP27,62.0,0.85,51.7206955,-0.8325872
MK4,78.2,1.05,52.0040459,-0.7842687
OX33,46.0,0.71,51.7583288,-1.1399624
CW10,87.0,1.1,53.1887768,-2.4436061
MK10,80.0,1.13,52.0410506,-0.6982522
