outcode,epc,hpr,lat,long
SR6,63.4,0.87,54.9355496,-1.379168
SR2,63.4,0.86,54.8860669,-1.3765988
SR5,66.4,0.94,54.9226017,-1.4241884
SR4,63.8,0.9,54.9003709,-1.4255904
DH5,66.0,0.93,54.8232696,-1.4551478
NE37,67.6,0.89,54.9127512,-1.5279619
SR1,67.9,0.9,54.9061193,-1.3782118
DH4,65.8,0.94,54.8540433,-1.4925925
SR3,66.7,0.93,54.8766731,-1.4168469
NE38,68.6,0.92,54.8934927,-1.5247917
NE9,60.4,0.83,54.9313591,-1.5854323
WF14,80.0,1.1,53.6797839,-1.6960552
NE36,66.5,1.03,54.9454581,-1.4414688
SR7,51.8,0.86,54.8304225,-1.3630969
DH3,52.8,0.95,54.8727478,-1.5679921
