outcode,epc,hpr,lat,long
NR8,65.2,0.97,52.6767458,1.2047578
NR6,64.0,0.93,52.6619269,1.2803571
NR7,66.2,0.95,52.6444333,1.3363787
NR13,63.5,0.95,52.6338547,1.4697849
NR12,58.5,0.88,52.7597763,1.4720163
NR10,62.1,0.94,52.7359335,1.2410548
NR11,66.3,0.95,52.8409073,1.2737841
NR20,51.7,0.84,52.7232899,0.9810289
NR9,54.3,0.89,52.6336604,1.1078046
NR3,54.9,0.86,52.6432723,1.2917283
NR4,84.1,1.12,52.612059,1.256665
NR5,56.0,0.91,52.6407866,1.2286953
NR14,85.7,1.18,52.5626096,1.3761424
NR30,73.3,1.02,52.6197388,1.7277361
NR15,86.2,1.18,52.5032686,1.2663003
NR31,64.0,0.92,52.5749904,1.708835
NR1,84.3,1.07,52.6266317,1.3068176
NR18,83.7,1.17,52.5706689,1.1079084
NR43,74.0,1.03,nan,nan
