postcode,epc,hpr
RG14 6LP,81.6,1.02
RG17 8PE,56.5,0.85
RG14 6SW,64.9,0.88
RG7 4UZ,63.8,0.97
RG18 9DZ,66.3,0.99
RG7 3HU,58.1,0.89
RG8 8NU,55.2,0.87
RG17 8QG,64.0,0.96
RG31 5JJ,66.0,0.72
RG14 7FN,82.1,0.97
RG14 7LS,60.5,0.8
RG20 7PG,73.8,1.11
RG14 7GL,83.9,1.05
RG31 7BN,62.1,0.96
RG31 7RN,54.4,0.84
RG20 9BB,83.0,1.17
RG31 7AY,61.8,0.95
RG7 3ZH,81.8,1.16
RG14 7NR,64.0,0.85
RG31 6GQ,63.5,0.95
RG18 9WP,77.1,1.05
RG7 6DS,61.0,0.93
RG14 7AL,58.3,0.87
RG7 6PS,50.5,0.81
RG14 2SF,64.4,1.0
RG31 5NQ,57.0,0.79
RG20 7LQ,61.6,0.95
RG7 5AN,63.2,0.74
RG18 3HP,73.5,1.0
RG31 6YT,57.6,0.87
RG31 5HS,58.8,0.83
RG7 3YU,61.9,0.95
RG14 2QD,65.0,0.99
RG18 3GT,84.0,1.13
RG20 8SL,57.9,0.93
RG17 9XT,49.2,0.87
RG14 1TU,67.6,0.92
RG31 7UN,75.6,0.94
RG14 2PN,65.2,0.94
RG14 7DD,59.3,0.86
RG7 3AJ,45.1,0.74
RG31 5LR,65.0,0.95
RG17 9UR,51.1,0.78
RG18 9HE,59.7,0.9
RG14 7GS,84.9,1.07
RG20 7AQ,41.5,0.78
RG7 5HZ,66.0,0.98
RG19 3AB,83.2,1.14
RG8 8EU,64.5,0.82
RG14 1SH,60.4,0.89
RG7 6ES,50.8,0.83
RG14 1EP,84.1,0.96
RG19 4WA,63.7,0.97
RG7 4RJ,43.0,0.76
RG14 6QW,41.0,0.77
RG20 8LB,23.0,0.59
RG7 5TN,46.2,0.76
RG20 8EA,39.4,0.58
RG7 4LN,42.2,0.61
RG14 6AP,66.4,0.94
RG7 5QT,35.0,0.7
RG8 9JH,61.3,0.78
RG8 8LS,54.3,0.9
RG19 4FX,64.8,0.97
RG7 6AG,41.9,0.96
RG31 7QD,79.8,0.96
RG20 7LS,57.6,0.94
RG17 0LB,58.0,0.92
RG7 6PB,50.3,0.8
RG31 6GP,60.9,0.95
RG14 6NP,64.1,0.97
RG31 6FU,64.2,0.94
RG14 6RH,72.0,0.93
RG7 5PA,45.8,0.86
RG19 4HS,66.2,0.98
RG17 0PZ,47.0,0.86
RG20 7DX,49.2,0.85
RG17 0QR,61.5,0.93
RG7 3AP,48.9,0.78
RG7 6BH,54.1,0.89
RG19 4JR,67.5,0.86
RG8 7JP,66.3,0.85
RG8 9RH,46.0,0.84
RG17 9TL,40.5,0.72
RG18 3HH,58.2,0.85
RG20 0PR,73.0,1.04
RG8 8NP,58.6,0.91
RG31 6ZX,59.7,0.93
RG14 2FS,63.2,1.05
RG8 8LL,71.8,1.04
RG7 5AH,63.4,0.95
RG18 3UG,65.2,0.81
RG8 7JT,65.5,0.89
RG18 9NG,62.7,0.96
RG31 6GE,65.4,0.96
RG7 5BD,54.6,0.8
RG7 6JU,54.4,0.86
RG8 9NQ,63.8,1.03
