outcode,epc,hpr,lat,long
L30,65.3,0.9,53.4845057,-2.9725553
L21,63.5,0.84,53.4713811,-3.0003559
L20,62.9,0.83,53.4530856,-2.9890292
L31,62.5,0.89,53.5134057,-2.9378113
L37,62.7,0.9,53.5571245,-3.0636989
L22,60.3,0.77,53.4772218,-3.0279256
PR8,59.4,0.83,53.6262751,-3.0097883
PR9,59.6,0.82,53.659666,-2.9686373
L23,60.8,0.84,53.4909653,-3.023793
L10,60.7,0.86,53.4744835,-2.9266207
L38,56.1,0.89,53.5244465,-3.0511596
L9,68.6,0.99,53.4613892,-2.9536021
L29,58.1,0.93,53.5075951,-2.9855216
L4,36.0,0.5,53.437841,-2.9612931
