postcode,epc,hpr
NG11 0EB,48.2,0.93
NG12 1FE,84.4,1.18
NG2 7AB,46.4,0.58
NG2 5DR,56.1,0.67
NG12 3TF,62.0,0.94
NG12 4BQ,62.3,0.93
NG11 6DY,52.0,0.69
NG13 8AJ,51.8,0.68
NG12 3NB,62.7,0.88
NG11 6GA,51.3,0.7
NG2 7ER,70.1,0.99
NG12 3SD,79.4,1.09
NG2 7LD,62.4,0.74
NG2 6UE,78.1,1.02
NG2 5PP,81.2,1.07
NG2 6NF,66.2,1.0
NG13 8QP,70.6,1.01
NG2 6RX,68.6,1.01
NG2 7ES,61.4,0.96
NG12 1DL,68.4,0.93
NG2 7DF,56.7,0.77
NG2 5DT,55.4,0.67
NG2 7UH,61.3,0.99
NG12 3TZ,84.5,1.18
NG2 5FW,67.4,0.87
NG2 7GR,61.5,0.96
NG2 5EF,50.9,0.63
NG12 2DQ,71.0,0.89
LE12 6QW,61.4,0.79
NG12 5SQ,83.7,1.16
NG2 7HY,71.4,0.97
NG12 3AF,66.7,0.96
NG12 2GN,62.0,0.85
NG12 2LD,45.6,0.69
NG13 8HG,64.1,0.86
NG13 8QD,63.7,0.96
NG12 3GJ,63.0,0.92
NG12 4BA,69.2,0.99
NG12 4JF,83.8,1.13
NG2 6GR,76.2,0.98
NG2 7SE,63.9,0.95
NG2 7FD,57.0,0.86
NG13 8GN,60.2,0.89
NG12 3HU,61.3,0.96
NG12 3JY,66.5,0.96
LE12 5PD,62.4,0.85
NG2 6QR,77.9,1.02
NG2 7EA,80.5,1.0
NG12 2FB,63.8,0.88
NG2 6HH,59.9,0.87
NG12 4AL,58.1,0.9
NG2 7JE,59.1,0.72
NG2 7NE,67.3,0.82
NG2 7JY,54.1,0.73
NG12 2ED,58.5,0.83
NG2 6BX,53.1,0.67
NG12 5GJ,83.9,1.16
NG2 5JZ,58.8,0.72
NG2 5FF,65.2,0.89
NG13 8YT,77.6,1.06
NG2 6NX,63.3,0.96
NG12 5LG,65.3,0.89
NG2 7PY,69.3,0.94
NG12 5QT,49.4,0.91
NG13 9EZ,62.5,1.01
LE12 6NJ,62.3,0.96
NG12 4BG,60.4,0.95
