outcode,epc,hpr,lat,long
RM11,60.8,0.78,51.5710765,0.2185278
RM3,65.9,0.85,51.6019384,0.2244542
RM1,64.8,0.83,51.582909,0.1835712
RM7,63.7,0.8,51.5748451,0.1687782
RM13,66.3,0.85,51.5252467,0.1931007
RM12,62.2,0.79,51.5529171,0.207438
RM2,62.3,0.77,51.5843336,0.2033607
RM14,59.4,0.76,51.5569004,0.264491
RM5,61.6,0.78,51.6013387,0.1647727
RM4,52.7,0.77,51.6410737,0.1587939
ME15,81.0,1.04,51.2532135,0.5335779
RM15,52.6,0.87,51.5087484,0.2762291
CM13,72.5,0.91,51.6152603,0.3385145
N5,87.0,1.01,51.5538671,-0.0986076
