outcode,epc,hpr,lat,long
NN12,69.9,0.99,52.1265265,-0.9999332
NN6,65.2,0.96,52.3269298,-0.9458447
NN2,70.5,0.93,52.2625668,-0.8886515
NN4,72.5,1.0,52.2144778,-0.8994462
NN1,67.0,0.85,52.2416489,-0.8883002
NN11,67.2,0.96,52.2417044,-1.1794055
MK19,71.6,1.0,52.0751348,-0.8552011
NN5,74.3,1.0,52.2467249,-0.9358726
NN3,69.8,0.96,52.2639662,-0.8422004
NN13,70.0,0.98,52.0340435,-1.1480035
NN7,65.5,0.92,52.2082231,-0.9287786
OX17,60.2,0.86,52.07362,-1.2890522
CV23,58.4,0.93,52.3683793,-1.2835273
LE16,58.1,0.91,52.4861071,-0.8959935
OX27,62.3,0.93,51.9363464,-1.1505518
LE17,69.0,0.95,52.4675874,-1.1778293
