outcode,epc,hpr,lat,long
TQ12,63.8,0.91,50.5294305,-3.6123156
EX6,57.8,0.9,50.6765895,-3.5972315
TQ13,59.3,0.88,50.5945854,-3.7176059
TQ11,59.3,0.83,50.4823197,-3.7850715
TQ14,61.4,0.86,50.5507921,-3.5078648
EX7,63.8,0.91,50.5843718,-3.4706752
EX2,60.4,0.92,50.7095079,-3.5143056
TQ9,50.3,0.84,50.4165597,-3.6910718
EX4,47.8,0.86,50.7313128,-3.526701
TQ2,65.5,1.01,50.4764111,-3.546236
TQ1,54.0,0.83,50.4730506,-3.523599
PL20,43.6,0.6,50.5001025,-4.100192
TQ3,58.0,1.0,50.443945,-3.5764405
