sector,epc,hpr,lat,long
TQ12 3,66.1,0.96,-3.595094101754386,50.55137846666667
EX6 8,63.3,0.93,-3.47894343866171,50.64952978810411
EX6 7,50.6,0.87,-3.6240698535714255,50.67173396071426
TQ13 9,59.2,0.89,-3.6898630741839766,50.59512964391693
TQ12 4,61.3,0.91,-3.5783034449152544,50.52478582627116
TQ11 0,59.3,0.83,-3.785062518987343,50.482291056962026
TQ13 0,63.1,0.92,-3.60335866981132,50.60128882075469
TQ14 8,61.2,0.84,-3.495713454545456,50.551806486014
EX7 9,61.6,0.85,-3.4731565434782565,50.58046046521737
EX7 0,65.8,0.96,-3.4682659160000004,50.58825815600001
TQ12 5,59.7,0.89,-3.606776979999999,50.49713437666672
TQ12 2,64.1,0.86,-3.607772062500001,50.53201183333339
TQ13 7,55.9,0.81,-3.768724217391304,50.523299086956506
TQ14 0,60.3,0.82,-3.5104830689655167,50.53918191954024
TQ14 9,61.9,0.88,-3.5200414280575543,50.55346115467622
TQ12 1,66.4,0.92,-3.619744883280757,50.530229864353295
EX6 6,49.2,0.87,-3.7349128192090384,50.7254085141243
TQ13 8,54.6,0.82,-3.808759341991341,50.66618334199132
TQ12 6,62.2,0.94,-3.6560998229813655,50.5413254099379
EX2 9,58.0,0.89,-3.55116917355372,50.705089690082666
EX2 8,49.8,0.82,-3.531522196551722,50.70491483793104
TQ9 6,50.3,0.84,-3.675047802919709,50.43995355839416
EX4 2,47.8,0.86,-3.5651328440860226,50.72974589784946
TQ2 7,65.5,1.01,-3.5564205361216725,50.48399104942964
TQ1 4,54.0,0.83,-3.5316732046332047,50.48186771814672
EX2 0,84.2,1.15,-3.5218504666666663,50.690076733333335
TQ13 3,65.3,1.1,nan,nan
PL20 6,43.6,0.6,-4.050040629166666,50.510905074999975
TQ12 0,80.0,1.11,nan,nan
TQ3 1,58.0,1.0,-3.579222609302327,50.45266454418604
