outcode,epc,hpr,lat,long
N1,67.3,0.74,51.5377218,-0.0970473
N7,69.1,0.8,51.5534256,-0.118356
N4,67.8,0.74,51.5700217,-0.1043503
N19,66.4,0.73,51.5652742,-0.1298808
WC1X,66.9,0.71,51.5266751,-0.1151125
EC1V,72.6,0.87,51.5268168,-0.0978016
EC1R,67.4,0.76,51.5249491,-0.1083725
N5,67.5,0.74,51.5538671,-0.0986076
EC1Y,72.9,0.88,51.5230455,-0.0924717
N16,67.4,0.73,51.5625965,-0.0766528
EC1M,72.8,0.86,51.5213505,-0.1023129
EC1A,69.8,0.9,51.5203315,-0.1039346
N6,65.3,0.74,51.5731718,-0.1460635
N1C,84.5,1.05,51.5365569,-0.1258562
EC2A,75.9,0.89,51.5237066,-0.0855916
N8,61.8,0.65,51.5829293,-0.1198918
NW5,61.9,0.63,51.551787,-0.1449996
EC2Y,70.5,0.86,51.5194073,-0.0935545
EC2,79.0,1.11,nan,nan
WC1,65.0,0.75,nan,nan
N11,73.0,0.86,51.6137464,-0.1388912
EC1,83.0,1.0,nan,nan
