outcode,epc,hpr,lat,long
GU7,64.9,0.89,51.1896186,-0.6121645
GU10,61.3,0.87,51.1965791,-0.7979139
GU26,63.1,0.87,51.1142993,-0.75038
GU5,58.9,0.83,51.198914,-0.5097292
GU27,63.6,0.87,51.0813045,-0.7216203
GU8,58.5,0.84,51.1486935,-0.6446799
GU9,64.4,0.88,51.219137,-0.7942479
GU6,64.7,0.92,51.1405502,-0.4841941
RH12,48.2,0.79,51.0771886,-0.332156
GU4,51.6,0.65,51.2432497,-0.5403949
RH5,30.8,0.62,51.1903735,-0.343837
GU05,83.0,1.15,nan,nan
WF3,78.0,1.08,53.7239736,-1.5253183
LL11,77.0,1.15,53.0634765,-3.0362413
