outcode,epc,hpr,lat,long
TA13,63.0,0.91,50.9466906,-2.8102347
TA20,63.8,0.92,50.8735523,-2.9622162
BA21,67.2,0.95,50.9520712,-2.6336799
BA22,59.7,0.92,50.9695037,-2.6381055
TA16,60.8,0.89,50.9094738,-2.7935591
BA8,56.8,0.91,50.9962542,-2.411865
TA18,60.8,0.88,50.8829255,-2.7874829
BA9,64.3,0.93,51.0576908,-2.4101382
TA14,60.5,0.86,50.9468145,-2.7515634
TA12,63.2,0.91,50.974841,-2.7730116
TA10,61.1,0.92,51.0334527,-2.8257148
TA19,60.4,0.9,50.9351637,-2.9154632
BA20,64.7,0.9,50.937984,-2.6452044
BA7,65.5,0.94,51.0894942,-2.5194603
TA3,57.9,0.91,50.9936898,-3.037039
BA10,62.7,0.9,51.1131761,-2.4478513
TA11,60.8,0.91,51.0605815,-2.7024096
TA17,56.3,0.79,50.9082091,-2.8361593
TA15,57.7,0.78,50.9511535,-2.7169146
DT9,61.5,0.89,50.9420485,-2.5162283
DT10,61.8,0.87,50.9376061,-2.3343561
TA7,37.6,0.75,51.131561,-2.910703
BS30,82.0,1.15,51.4447118,-2.4713845
DT8,49.1,0.87,50.8199071,-2.7589018
SP8,23.0,0.79,51.0373048,-2.2910983
EX13,50.5,0.78,50.7871097,-3.0071442
