outcode,epc,hpr,lat,long
E14,76.4,0.95,51.5061699,-0.0184998
E3,73.5,0.9,51.527941,-0.0252696
E1,71.3,0.86,51.5173859,-0.0595023
E2,69.3,0.81,51.5296098,-0.062627
E1W,71.3,0.9,51.5091122,-0.0589168
E9,69.8,0.79,51.5440387,-0.0430441
WR3,80.0,1.14,52.2169397,-2.2139652
E8,66.9,0.68,51.5436904,-0.0661452
CF81,84.0,0.92,51.7017292,-3.2446317
E16,84.7,1.07,51.5105927,0.0289721
PE19,85.0,0.99,52.2359693,-0.2636521
SE11,87.0,1.04,51.4898569,-0.1115597
NN18,79.0,1.17,52.4779167,-0.7130298
CR0,82.0,1.0,51.3732242,-0.0775432
YO1,60.0,1.07,53.9586237,-1.0828142
