sector,epc,hpr,lat,long
LL31 9,63.5,0.89,-3.810308961130742,53.2903704699647
LL22 7,61.1,0.86,-3.584363070093461,53.28638736915888
LL34 6,58.8,0.8,-3.914479630434784,53.27059650543479
LL22 8,54.3,0.87,-3.639778314814814,53.24259844444444
LL32 8,55.6,0.83,-3.84122655,53.2581594392857
LL29 8,57.1,0.83,-3.698833179723503,53.28623014746546
LL28 4,61.8,0.84,-3.7473498384279496,53.3075401877729
LL29 9,59.7,0.8,-3.692949424731186,53.28946222043014
LL29 7,58.7,0.74,-3.730697740506328,53.293751607594906
LL26 0,57.5,0.83,-3.7857032966507167,53.13946033971289
LL30 2,59.9,0.78,-3.8358467846153856,53.32263096538462
LL30 3,59.0,0.86,-3.777657137254903,53.3173574640523
LL25 0,42.5,0.76,-3.880439531914895,53.05380425531915
LL30 1,62.2,0.86,-3.818474995951418,53.31486663967608
LL33 0,57.0,0.78,-3.978996708333333,53.250765416666624
LL28 5,55.5,0.84,-3.77731375925926,53.26670796759258
LL18 5,61.8,0.92,-3.5007757777777786,53.294741344086
LL22 9,61.0,0.92,-3.546903290909091,53.28575100606064
LL24 0,42.3,0.71,-3.7857107046632112,53.05774568911919
LL21 9,46.0,0.77,-3.384347868686869,53.0067017020202
LL21 0,41.4,0.74,-3.4407187705882354,52.97023552941176
LL16 5,43.0,0.77,-3.4961089082568835,53.18703098165138
LL27 0,51.9,0.76,-3.827539638297873,53.14852257446809
LL29 6,62.3,0.92,-3.734215704545454,53.282218318181805
LL28 7,80.5,1.06,nan,nan
LL28 8,81.3,1.12,nan,nan
LL17 0,41.4,0.64,-3.436991837104072,53.25237990045249
LL24 4,62.0,0.77,nan,nan
