postcode,epc,hpr
LL28 4TG,52.6,0.84
LL28 4BS,59.5,0.72
LL28 4ES,78.4,1.04
LL30 2DY,64.0,0.62
LL29 9AR,23.0,0.52
LL29 7TY,54.8,0.64
LL29 6AL,60.3,0.87
LL28 5SG,35.5,0.68
LL34 6HR,71.6,0.88
LL26 0EE,53.8,0.81
LL30 1NR,55.8,0.8
LL22 7EN,61.6,0.92
LL29 8RP,56.1,0.69
LL31 9HD,91.2,1.18
LL30 1HB,71.5,0.95
LL21 9UD,53.7,0.94
LL29 8UN,62.7,0.85
LL29 7ER,39.3,0.68
LL28 4UP,53.1,0.74
LL29 8RE,65.7,0.96
LL28 4NX,58.8,0.9
LL30 2JD,54.7,0.73
LL30 2BS,49.9,0.72
LL18 5LR,59.3,0.84
LL31 9EN,52.3,0.75
LL28 4FD,84.2,1.08
LL26 0DB,57.6,0.74
LL28 4DR,51.4,0.73
LL34 6LG,58.5,0.68
LL30 2YX,53.9,0.7
LL30 2BE,49.4,0.72
LL22 8QL,63.5,0.95
LL16 5BX,76.4,1.14
LL16 5YT,39.0,0.86
LL28 4SD,76.7,0.99
LL30 1LQ,55.6,0.62
LL31 9ET,57.3,0.77
LL22 7RH,60.4,0.73
LL22 8PX,64.3,0.97
LL34 6RR,61.7,0.94
LL32 8HQ,42.8,0.84
LL18 5HZ,63.6,0.98
LL29 9BW,62.6,0.78
LL22 8QE,63.8,0.98
LL30 2JZ,62.8,0.6
LL18 5JD,61.0,0.99
LL28 5BJ,58.9,0.95
LL22 8UN,60.0,0.88
LL22 7HJ,84.6,1.12
LL29 9UR,56.7,0.75
LL29 8TA,39.1,0.83
LL29 8LQ,55.3,0.81
LL32 8YS,24.6,0.57
LL29 9HT,62.5,0.87
LL29 8EB,52.3,0.62
LL29 9BH,65.9,0.94
LL30 2AH,55.1,0.78
LL31 9SW,63.9,0.92
LL32 8PR,50.5,0.65
LL32 8LQ,57.5,0.87
LL24 0YE,36.0,0.65
LL29 8HN,62.7,0.97
LL30 1NN,85.6,1.1
LL31 9TD,48.5,0.85
LL29 9RE,50.0,0.69
LL26 0UW,8.5,0.57
LL29 9NS,59.9,0.87
LL22 7RY,62.4,0.97
LL29 8PU,56.2,0.64
LL30 1AB,50.2,0.68
LL34 6AN,67.6,0.78
LL34 6SR,47.2,0.55
LL22 7TE,55.2,0.88
LL30 1BP,58.4,0.81
LL18 5NS,52.3,0.75
LL30 2TQ,56.7,0.8
LL31 9SU,57.2,0.78
LL18 5LU,50.1,0.72
LL29 7UY,70.6,0.92
LL27 0JA,60.0,1.03
LL31 9DQ,75.6,1.03
LL32 8RT,67.1,0.95
LL29 8TD,38.0,0.83
LL32 8RS,67.0,0.91
LL22 8AH,62.9,0.93
LL22 9LS,60.3,0.87
LL33 0DS,64.8,0.9
LL21 9TB,49.3,0.79
LL29 9BL,67.8,0.98
LL28 4YF,55.2,0.76
LL30 2QH,51.8,0.62
LL29 7BQ,84.3,1.13
LL31 9FE,80.8,1.12
LL28 4YU,60.7,0.91
LL28 5AY,55.6,0.68
LL28 5AQ,51.2,0.93
LL33 0TH,53.5,0.6
LL29 7LR,55.1,0.63
LL16 5ND,27.9,0.53
LL22 8EA,35.7,0.72
LL28 4UT,56.7,0.9
LL30 2JP,61.2,0.53
LL29 8SY,41.1,0.76
LL27 0UX,54.0,0.84
LL22 8HJ,89.5,1.16
LL22 7HA,47.9,0.66
LL22 8DY,36.5,0.77
LL33 0HP,78.5,1.02
LL32 8RH,53.7,0.45
LL28 4RD,60.1,0.82
LL31 9PP,56.7,0.81
LL29 8HF,50.8,0.7
LL29 8TB,44.8,0.86
LL30 3HD,52.5,0.73
LL32 8SE,36.0,0.78
LL30 1LN,56.3,0.81
LL28 4DH,50.0,0.69
LL28 4HA,55.9,0.73
LL29 6DT,67.5,1.01
LL22 8HW,44.1,0.65
LL29 8DW,61.6,0.69
LL34 6NL,63.0,0.73
LL26 0DH,52.6,0.71
LL33 0SL,63.2,0.82
LL22 7RG,53.4,0.71
LL29 7PT,49.9,0.62
LL28 4BF,77.2,1.06
LL32 8TE,35.7,0.61
LL22 9BG,35.6,0.73
LL29 7RE,45.3,0.66
LL31 9PF,57.9,0.85
LL29 8BH,54.8,0.96
LL29 8YE,45.2,0.69
LL27 0JP,56.4,0.72
LL31 9UL,62.4,0.66
LL30 3RH,59.0,0.88
LL32 8WB,71.6,1.02
LL30 1BZ,79.1,1.0
LL22 7TS,60.9,1.0
LL22 9BH,42.3,0.88
LL28 4LD,55.8,0.81
LL34 6AZ,67.2,0.98
LL33 0DR,57.6,0.88
LL30 2UB,50.5,0.6
LL28 4ET,58.7,0.72
LL18 5FY,72.5,1.05
LL31 9ST,54.7,0.75
LL22 9LW,58.6,0.9
LL18 5LX,62.8,0.89
LL29 7SL,55.1,0.73
LL30 1SF,56.9,0.91
LL29 6DD,56.0,0.85
LL33 0AH,62.2,0.98
LL29 9NR,53.0,0.72
LL27 0TQ,67.5,0.96
LL30 2TL,54.0,0.59
LL18 5HR,58.4,0.88
LL29 9LG,65.8,0.92
LL29 8LG,64.4,0.77
LL22 9BN,6.0,0.41
LL31 9BW,51.9,0.81
