outcode,epc,hpr,lat,long
TQ6,54.9,0.81,50.3471274,-3.5905841
TQ9,59.4,0.88,50.4165597,-3.6910718
TQ8,59.7,0.85,50.2366074,-3.7718704
TQ7,55.4,0.87,50.2826457,-3.7844126
PL21,63.5,0.92,50.3852736,-3.9184514
PL8,58.6,0.88,50.3354884,-4.0107277
TQ10,58.8,0.88,50.4234657,-3.8260896
PL6,69.4,0.98,50.418712,-4.1156868
TQ13,44.9,0.77,50.5945854,-3.7176059
TQ11,48.6,0.79,50.4823197,-3.7850715
TQ5,45.9,0.85,50.391781,-3.5234852
PL9,63.8,0.93,50.3547404,-4.087228
PL7,50.2,0.83,50.3927332,-4.0456918
TQ3,59.7,0.89,50.443945,-3.5764405
PL5,68.2,1.0,50.4110853,-4.1666681
TQ12,35.5,0.7,50.5294305,-3.6123156
PL20,76.0,1.14,50.5001025,-4.100192
