outcode,epc,hpr,lat,long
IG2,64.7,0.78,51.5760405,0.0815331
IG8,61.3,0.76,51.6100214,0.0381164
E18,63.8,0.76,51.5927827,0.0249672
IG3,61.6,0.71,51.5631159,0.1029088
IG6,63.7,0.79,51.5960763,0.0877543
IG4,60.6,0.72,51.5800576,0.0512052
IG1,64.6,0.75,51.5594197,0.0733642
E11,61.6,0.75,51.5686864,0.0135501
IG5,62.0,0.76,51.5911739,0.063456
RM6,65.3,0.82,51.5757994,0.1295444
IG7,65.3,0.85,51.6143123,0.0956944
RM8,64.7,0.9,51.5572096,0.1293935
E12,58.4,0.68,51.5507498,0.0529473
IG9,59.7,0.71,51.6258577,0.0402651
IG11,64.1,0.78,51.5350133,0.0932901
E7,57.0,0.72,51.5471369,0.027572
B71,74.0,0.91,52.5360066,-1.9904942
E4,1.0,0.36,51.6218323,-0.0057248
RM5,59.0,0.8,51.6013387,0.1647727
LA1,82.0,1.16,54.0467054,-2.7994612
