postcode,epc,hpr
DY2 0AQ,53.9,0.74
DY5 2PQ,60.8,0.93
DY3 2QL,68.3,0.93
DY5 1LG,72.8,1.04
WV14 9HB,57.0,0.77
DY1 3DH,67.4,0.99
DY2 9EE,67.3,0.95
DY1 2JR,54.6,0.83
DY2 9HD,65.8,0.96
DY3 1LN,61.5,0.84
DY5 1PE,58.9,0.78
DY3 3BY,63.6,0.91
DY1 4HH,65.5,0.86
B63 3HB,62.0,0.83
DY3 2FE,77.7,1.1
DY2 8ER,68.4,0.91
DY2 9HZ,64.5,0.86
DY3 2RS,62.3,0.91
DY5 4NF,54.3,0.98
DY8 4YU,51.8,0.66
DY5 2RP,54.2,0.77
B63 1AH,58.7,0.91
B62 8SY,64.4,0.94
DY5 3JW,59.2,1.0
DY8 4DB,81.0,1.02
DY1 3NG,58.1,0.85
B63 3UA,55.8,0.86
DY3 2ED,71.4,1.04
DY1 1DU,54.4,0.81
WV14 9LA,57.2,0.81
B62 9QR,59.0,0.91
DY6 9ET,64.5,0.93
B62 8EU,57.4,0.8
DY9 7HJ,66.8,0.86
DY3 2UP,61.5,0.94
DY5 3XU,58.0,0.83
DY1 3BP,70.2,1.0
DY1 4AJ,79.2,1.1
DY8 5YQ,55.7,0.68
DY2 8DJ,67.0,0.97
DY3 2QA,62.8,0.92
DY8 4PE,58.1,0.77
DY1 2HU,60.7,0.84
B63 2EB,59.4,0.85
DY8 5AU,57.6,0.72
DY3 1TD,68.6,0.91
DY1 2RN,69.9,1.0
DY2 7NB,69.5,0.98
DY1 2SG,63.0,0.89
B63 2PH,73.6,0.98
DY1 3EY,68.2,0.93
WV14 8SX,65.1,0.88
B62 9LA,47.4,0.83
DY4 8AE,52.2,0.76
DY8 3PJ,61.9,0.92
DY6 9JU,62.5,0.74
DY1 4SY,83.7,1.17
DY2 0PQ,63.7,0.87
DY5 4HR,44.7,0.8
B62 9QB,58.4,0.75
DY8 5HS,54.6,0.79
DY6 7LQ,78.9,1.11
B63 4LS,62.5,0.87
B63 1JN,62.4,0.91
DY5 4LP,64.6,0.93
DY3 3SU,66.6,0.94
DY3 1QG,62.2,0.9
DY3 1SP,78.8,0.99
DY8 4YW,62.5,0.85
DY8 5BE,72.4,1.04
DY8 3SY,57.8,0.87
B63 2TE,80.5,1.04
DY1 3RL,66.3,0.91
DY8 2LJ,64.2,0.93
DY8 2DP,58.4,0.85
DY5 2DE,76.9,1.05
DY3 2PF,64.9,0.84
DY8 1BS,74.9,1.02
B63 2DG,67.4,1.0
DY3 2PU,62.1,0.9
B63 3RB,73.7,0.9
WV14 0SQ,59.3,0.83
DY5 1EB,77.2,1.02
DY2 8TP,56.1,0.72
DY2 9JH,63.9,0.9
DY2 8XH,59.6,0.71
DY9 7BX,68.1,1.01
