outcode,epc,hpr,lat,long
DY2,61.0,0.83,52.4963087,-2.0814401
DY5,61.8,0.87,52.4804556,-2.1239401
DY3,63.0,0.89,52.5308396,-2.1312352
WV14,62.0,0.87,52.5572984,-2.0789308
DY1,64.0,0.88,52.5164236,-2.0965765
B63,63.0,0.87,52.4514517,-2.0699158
DY8,62.0,0.87,52.460812,-2.1557543
B62,60.0,0.84,52.4571593,-2.0337937
DY6,62.3,0.9,52.4984945,-2.1644135
DY9,61.1,0.85,52.4332065,-2.122508
DY4,58.3,0.83,52.5328792,-2.0552638
WV4,84.1,1.07,52.5614099,-2.1447119
B64,77.9,1.11,52.4725264,-2.0694635
B65,60.1,0.85,52.4836373,-2.0437814
DY7,51.0,0.93,52.466416,-2.2308062
B69,82.0,1.13,52.5027111,-2.030311
SK15,72.0,0.99,53.4870446,-2.0469859
MK42,83.0,1.12,52.1173913,-0.4724081
