outcode,epc,hpr,lat,long
SK9,64.3,0.9,53.3278962,-2.2304439
CW5,65.7,0.94,53.0619376,-2.5221792
CW1,65.0,0.9,53.1036281,-2.4360889
CW2,64.2,0.88,53.0798218,-2.4465966
SK11,62.2,0.86,53.245315,-2.1463212
WA16,59.9,0.87,53.3030431,-2.3722288
SK12,62.7,0.89,53.3514172,-2.0924709
CW11,66.8,0.96,53.1431937,-2.3673649
CW3,55.2,0.91,52.9979416,-2.4084452
ST7,64.6,0.92,53.0885898,-2.2685631
CW12,66.9,0.95,53.1659013,-2.2135769
SK10,63.5,0.89,53.2756794,-2.1312485
CW10,64.8,0.93,53.1887768,-2.4436061
CW7,50.6,0.89,53.1899294,-2.5290755
CW6,48.9,0.82,53.1625246,-2.6672351
CW4,65.8,0.95,53.2088755,-2.3556124
SY14,58.1,0.92,53.0312383,-2.7680979
SY13,46.6,0.8,52.9521685,-2.6900901
CW9,45.1,0.77,53.2584003,-2.5017811
WA14,42.4,0.73,53.3878102,-2.3607423
WA13,48.9,0.82,53.3823451,-2.4693236
SK6,53.0,0.78,53.4051341,-2.080279
SK23,49.5,0.74,53.3277544,-1.9485093
WA15,52.9,0.79,53.3845913,-2.3259397
TF9,35.4,0.68,52.8968634,-2.4700531
SK8,78.2,1.06,53.3796923,-2.2090903
CW49,84.0,1.18,nan,nan
SK7,44.8,0.73,53.3695112,-2.1434037
SK22,48.0,0.47,53.3725343,-1.9846946
M22,65.7,0.68,53.3858702,-2.2600788
WA4,26.0,0.45,53.3653734,-2.5758118
BA13,87.0,1.1,51.2621061,-2.1816707
