district,epc,hpr
SK9,64.3,0.9
CW5,65.7,0.94
CW1,65.0,0.9
CW2,64.2,0.88
SK11,62.2,0.86
WA16,59.9,0.87
SK12,62.7,0.89
CW11,66.8,0.96
CW3,55.2,0.91
ST7,64.6,0.92
CW12,66.9,0.95
SK10,63.5,0.89
CW10,64.8,0.93
CW7,50.6,0.89
CW6,48.9,0.82
CW4,65.8,0.95
SY14,58.1,0.92
SY13,46.6,0.8
CW9,45.1,0.77
WA14,42.4,0.73
WA13,48.9,0.82
SK6,53.0,0.78
SK23,49.5,0.74
WA15,52.9,0.79
TF9,35.4,0.68
SK8,78.2,1.06
CW49,84.0,1.18
SK7,44.8,0.73
SK22,48.0,0.47
M22,65.7,0.68
WA4,26.0,0.45
BA13,87.0,1.1
