outcode,epc,hpr,lat,long
CV22,66.5,0.92,52.359079,-1.2784656
CV21,65.6,0.88,52.3768752,-1.25063
CV23,69.4,0.98,52.3683793,-1.2835273
CV3,60.1,0.87,52.3909775,-1.4781403
CV11,64.5,0.95,52.5198747,-1.453464
CV8,64.8,0.9,52.3519562,-1.5420194
CV2,78.7,1.12,52.4244967,-1.4635562
LE10,57.5,0.87,52.5368832,-1.3698567
CV7,60.3,0.9,52.446762,-1.569683
LE17,50.0,0.81,52.4675874,-1.1778293
CV12,60.9,0.95,52.4789841,-1.4724008
WF17,81.0,1.14,53.7188923,-1.6426028
CV47,25.0,0.71,52.2354306,-1.3854686
