outcode,epc,hpr,lat,long
HA8,65.6,0.82,51.6113532,-0.2739101
NW9,72.8,0.92,51.5881194,-0.2552637
NW11,62.8,0.72,51.5783915,-0.1974603
EN5,64.2,0.81,51.649944,-0.1975625
N3,63.3,0.74,51.6002281,-0.193929
EN4,63.4,0.8,51.6491899,-0.1605104
N20,64.8,0.8,51.6292552,-0.1743686
NW4,64.6,0.77,51.5873411,-0.2243033
N2,63.8,0.76,51.5900894,-0.1692626
NW7,68.6,0.87,51.6148052,-0.2348917
NW2,65.8,0.8,51.5581501,-0.2202562
N12,64.4,0.79,51.6149237,-0.1776502
N11,66.5,0.83,51.6137464,-0.1388912
N10,64.2,0.77,51.5948015,-0.1450221
N14,58.2,0.71,51.6343428,-0.1308896
NW3,65.3,0.81,51.5523422,-0.1725058
WD6,57.6,0.73,51.6573773,-0.2756334
HA7,56.3,0.76,51.6113081,-0.3106331
N1O,61.0,0.74,nan,nan
E10,74.0,0.91,51.5679608,-0.0143353
