postcode,epc,hpr
SE26 4NP,61.4,0.56
SE23 2PB,62.1,0.75
SE12 0UY,58.8,0.74
SE26 4QH,71.8,0.78
SE4 1YS,76.3,0.92
SE14 6SL,64.0,0.64
SE10 8AD,64.4,0.63
SE6 3BA,59.1,0.87
SE26 4SS,65.3,0.82
SE13 7AP,58.0,0.64
SE23 2BL,68.1,0.75
SE6 2PR,58.5,0.64
SE4 1YW,60.1,0.62
SE13 6JE,57.5,0.63
SE13 5NS,63.7,0.66
SE26 6NR,60.4,0.63
SE8 3PW,69.3,0.96
SE13 7QU,75.3,0.99
SE13 7YL,86.1,1.06
SE13 5AT,46.5,0.67
SE12 9TR,55.8,0.61
SE12 0ST,77.7,0.9
SE23 2DY,61.4,0.65
SE26 5GJ,79.4,1.0
SE8 5BA,66.7,0.92
SE4 2SH,61.2,0.61
SE23 2SL,55.9,0.6
SE26 5EX,63.5,0.63
SE23 3XR,69.8,0.95
SE26 4PZ,83.7,1.04
SE12 0LR,79.9,1.0
SE26 5RZ,57.3,0.65
SE6 1TP,62.5,0.75
SE6 4ES,58.8,0.6
SE8 3JQ,85.6,1.07
SE6 4NQ,60.1,0.6
SE6 3EU,74.3,0.93
SE13 6HX,61.3,0.63
SE26 4TH,69.6,0.87
SE6 4LZ,52.8,0.76
SE12 0UJ,60.4,0.67
SE4 2AJ,63.0,0.7
SE3 0XQ,66.4,0.87
SE6 4LN,57.2,0.63
SE14 5NP,63.1,0.69
SE6 4NF,57.9,0.62
SE4 1YR,60.1,0.62
SE13 6SD,62.4,0.71
BR1 4TB,64.9,0.8
SE12 8LU,57.3,0.58
SE23 2AJ,56.1,0.64
SE13 6BJ,66.3,0.88
SE26 4AW,62.6,0.75
BR1 5SJ,68.0,0.87
SE23 2DH,59.6,0.64
SE8 4RB,69.2,0.96
SE6 1TZ,63.8,0.73
BR1 4RH,65.3,0.85
SE4 1RB,58.9,0.67
SE13 6AD,81.9,1.05
SE26 4SL,74.1,0.93
SE8 4HY,54.2,0.53
SE8 5JX,72.6,1.0
SE13 6TR,55.5,0.61
SE13 7FD,82.4,0.96
SE13 5PL,60.8,0.66
SE9 4BU,67.8,0.86
SE14 5NA,81.1,1.02
SE23 2TG,59.3,0.61
SE26 6TX,66.9,0.68
SE6 1EA,54.6,0.62
SE13 6EL,64.5,0.75
SE26 6JG,63.5,0.71
SE14 5NT,64.5,0.67
SE13 5JD,60.4,0.66
SE12 9TZ,73.6,0.92
SE13 7JX,57.8,0.64
SE6 4DG,60.4,0.64
SE6 4XG,64.1,0.71
BR1 5LX,63.4,0.76
SE6 4UE,56.3,0.63
SE4 2ER,69.1,0.97
SE6 4PR,67.5,0.77
SE12 0JJ,71.2,0.89
SE13 5AH,65.6,0.68
SE4 1NY,60.3,0.58
SE13 5LT,61.2,0.62
SE13 7TL,57.6,0.57
SE4 1PE,65.5,0.64
SE13 5QZ,61.9,0.65
SE6 3EB,66.4,0.84
SE8 5BL,67.0,0.9
SE6 2PW,62.4,0.75
SE8 5NE,67.0,0.68
SE13 7BX,62.3,0.7
SE26 4PD,53.7,0.58
SE13 5NB,59.9,0.75
SE6 1PW,60.6,0.85
SE8 5EW,84.4,1.06
SE14 5RQ,71.7,0.98
SE6 2TS,71.8,0.84
SE13 7QG,75.9,0.99
SE26 6SY,71.6,0.94
SE4 2JE,60.7,0.66
SE23 3HN,54.6,0.67
SE6 2SW,61.0,0.74
SE13 6DE,64.7,0.67
SE14 6QJ,68.1,0.75
SE26 4TD,68.2,0.96
SE14 5TW,63.5,0.64
SE12 0RN,58.0,0.61
SE23 1DZ,61.4,0.64
SE12 8QN,61.1,0.75
SE13 6DZ,77.1,0.99
SE13 5PE,62.3,0.65
SE6 2AZ,59.5,0.67
SE13 5EZ,61.8,0.73
SE8 4AP,80.5,1.03
SE6 3SE,61.1,0.74
SE23 3BS,62.5,0.75
SE4 1JA,54.4,0.6
SE4 2JN,62.1,0.68
SE23 2RT,56.2,0.68
SE12 0JB,55.0,0.63
SE26 6TU,65.6,0.66
SE26 5HF,62.4,0.73
BR1 5LT,58.7,0.67
SE8 5EU,84.1,1.05
SE13 5AX,55.3,0.66
SE14 5SA,62.1,0.71
SE14 6NF,61.7,0.84
SE4 1PD,63.5,0.62
SE9 4HX,60.3,0.71
SE4 1NF,66.9,0.65
SE6 3JQ,71.8,0.97
SE6 3AB,58.1,0.65
BR1 4TF,80.9,1.02
SE4 2EX,72.4,1.04
SE13 7JB,52.8,0.56
SE16 2TA,79.0,1.1
SE14 6BJ,65.2,0.67
SE13 7UA,63.3,0.67
SE23 1NX,59.7,0.7
SE4 2HX,75.4,0.96
SE13 5RQ,56.5,0.6
SE6 3NR,73.6,0.97
SE8 4ER,72.3,0.85
SE3 9HQ,64.3,0.83
SE26 6RF,59.2,0.71
SE23 2HB,58.1,0.63
SE6 2BY,53.5,0.6
SE23 2EZ,60.6,0.67
SE26 5LD,60.6,0.72
SE23 3XJ,59.0,0.62
SE13 6BS,85.5,1.1
SE3 0RS,72.8,0.78
SE4 1YP,59.1,0.61
SE13 7XG,62.0,0.62
SE8 4LY,71.5,0.9
SE13 7AY,60.7,0.68
BR1 5DR,64.4,0.86
SE6 1BB,69.1,1.01
SE23 1SA,63.1,0.72
SE6 4YN,64.8,0.7
SE6 3LT,60.1,0.67
SE23 3ND,68.5,0.8
SE4 2EY,59.5,0.61
SE8 5JG,70.9,0.93
SE6 4JN,61.0,0.61
SE6 2QA,60.6,0.73
SE14 6TY,64.6,0.69
SE12 0HT,61.7,0.66
SE23 3YQ,68.8,0.72
SE26 5EW,62.1,0.66
SE26 4RG,64.2,0.84
SE8 3GN,87.1,1.06
SE14 5ST,60.8,0.87
SE4 2HR,66.3,0.67
SE12 9LT,66.1,0.71
SE6 2TW,60.7,0.62
SE8 3PR,55.6,0.65
SE12 0SX,71.7,0.89
SE4 1EG,60.0,0.64
SE4 1JU,57.1,0.61
BR1 4LT,67.5,0.71
SE6 1TF,59.2,0.61
SE4 1NT,59.7,0.64
SE6 4XF,57.1,0.65
SE13 7EQ,56.5,0.62
SE12 8RS,60.2,0.66
SE12 0NA,61.4,0.74
SE13 7TG,71.6,0.9
BR1 5NA,65.8,0.86
SE14 5BA,66.1,0.77
SE23 2JA,64.2,0.67
SE12 0EE,61.1,0.77
SE14 5BB,87.5,1.07
SE6 3TW,60.8,0.82
SE13 7FF,83.1,0.96
SE8 4HN,80.7,1.02
SE13 5BP,67.8,0.77
SE26 5QW,70.0,0.75
SE4 1UW,62.6,0.57
SE8 3FA,84.6,1.07
SE6 1BN,57.3,0.61
SE4 1UD,58.5,0.62
SE14 5XH,66.0,0.92
SE26 5EJ,61.8,0.59
SE4 1QD,63.2,0.66
SE14 5SX,66.1,0.89
SE13 5LE,68.2,0.83
SE4 2LL,66.2,0.65
SE14 6QL,62.1,0.65
SE13 6QA,66.2,0.78
SE14 6NU,59.1,0.66
SE8 5AJ,60.6,0.62
SE26 6PE,65.9,0.76
SE26 4NS,58.2,0.62
SE6 2AH,83.3,1.04
SE6 4XB,63.7,0.76
SE26 4BF,82.9,1.06
SE13 6UR,73.2,1.0
SE6 1SA,60.5,0.74
SE8 5EP,84.5,1.05
SE4 2BS,59.2,0.65
SE6 2UN,82.3,1.03
SE4 1NJ,64.3,0.67
SE8 4EJ,64.0,0.71
SE23 2LW,65.1,0.64
SE6 3AU,61.9,0.7
BR1 5EJ,62.8,0.81
SE9 4JF,71.9,0.94
SE13 5SB,64.8,0.67
SE13 5PB,63.5,0.69
SE13 7GP,84.2,1.03
SE14 6BH,84.2,1.08
SE14 5XE,68.2,0.92
SE6 3AS,65.2,0.77
SE13 5NH,59.6,0.59
SE23 3ED,58.8,0.6
SE4 1SF,58.8,0.63
SE4 2SS,69.7,0.85
SE23 2AG,62.1,0.65
SE13 5QT,62.1,0.67
SE4 2LN,66.1,0.64
SE26 6XT,56.0,0.66
BR1 5RT,51.4,0.63
SE15 1NR,65.0,0.76
SE13 5FH,83.2,1.12
SE4 1QQ,57.2,0.67
SE13 5FQ,84.0,1.06
SE4 1LT,61.0,0.6
SE13 5LD,50.8,0.63
SE23 3SA,60.9,0.61
SE13 7PL,63.4,0.67
SE6 2EG,56.7,0.89
SE13 6QB,55.7,0.62
SE8 5AH,57.4,0.62
SE3 0QX,56.2,0.56
BR1 4TQ,80.0,0.99
SE13 6DS,63.2,0.7
SE4 1AU,67.5,0.9
SE26 4JH,68.1,0.66
SE8 5TG,61.1,0.81
SE8 4BQ,68.0,0.9
SE14 5BQ,67.8,0.75
SE13 7RP,76.3,1.0
SE23 2AB,61.7,0.69
SE13 7SF,75.9,0.99
SE4 2FJ,85.0,1.1
SE14 6AW,84.8,1.09
SE23 2BE,59.2,0.74
SE26 6JT,67.7,0.6
SE14 5NX,63.8,0.62
SE13 6SY,58.6,0.67
SE26 5EH,67.5,0.65
SE12 0ER,64.0,0.67
SE13 6PS,67.0,0.69
SE8 3FD,71.0,1.05
SE12 9SU,55.1,0.74
SE6 1JE,61.6,0.75
SE8 3AG,60.3,0.67
SE23 2LL,64.6,0.66
SE13 7FW,84.3,1.04
SE26 4ST,59.0,0.62
SE26 4LL,54.3,0.61
SE26 4NT,60.5,0.65
SE8 5BN,66.3,0.9
SE15 1JQ,68.2,0.73
BR1 4LP,60.3,0.65
SE8 4NA,71.0,0.87
SE13 6SB,60.9,0.62
SE13 5JB,54.4,0.63
SE23 3AJ,67.9,0.88
SE13 6HA,62.4,0.68
SE13 7LL,84.7,1.06
SE23 1NL,62.6,0.71
BR1 5EE,61.9,0.8
SE12 8LR,56.4,0.6
SE4 1YB,61.5,0.63
SE23 2AA,58.8,0.63
SE23 1LN,55.4,0.69
SE8 5DW,66.4,0.88
SE8 3FW,81.7,1.1
SE12 9PT,58.3,0.63
SE26 6AR,59.2,0.58
SE6 1AU,58.9,0.66
SE10 8FN,82.6,1.06
SE23 2AE,58.7,0.65
BR1 4QL,63.6,0.86
SE13 7FP,83.9,1.03
SE13 5RE,55.0,0.58
SE6 3NN,60.1,0.68
SE12 9PS,64.0,0.78
SE12 0DW,70.0,0.99
SE6 3AH,65.4,0.71
SE13 6SF,60.5,0.64
SE8 3FH,86.2,1.05
SE12 0DS,56.9,0.6
SE14 5SN,67.4,0.76
SE6 2NE,56.7,0.58
SE23 1DY,63.8,0.71
SE13 7HZ,60.3,0.65
SE13 6UB,60.0,0.63
SE26 4HJ,57.9,0.62
SE13 7LW,78.8,1.05
SE13 5EL,70.0,0.78
SE6 3BB,59.6,0.87
BR1 5EL,63.6,0.85
SE6 3BJ,58.1,0.72
SE8 5FS,81.8,1.1
SE26 6BN,66.9,0.79
SE6 1JG,59.9,0.8
SE26 5SW,68.7,0.95
SE6 2AB,59.7,0.65
SE14 5XG,65.4,0.93
SE12 8LQ,64.1,0.64
SE14 6QQ,67.6,0.75
SE13 6AA,64.1,0.63
SE16 7AB,68.5,0.96
SE4 1SY,62.4,0.62
SE6 1PN,69.0,0.76
SE6 4FA,85.8,1.08
SE14 6JY,75.2,1.0
SE8 4RX,69.7,0.92
SE8 5JN,61.4,0.92
SE14 5BT,80.2,1.03
SE13 6EF,63.7,0.98
SE6 2BS,60.9,0.64
SE4 2DQ,59.7,0.65
SE3 0BD,48.8,0.57
SE14 6FE,85.9,1.08
SE14 6LA,69.3,0.83
SE14 5FD,86.0,1.11
SE6 2BG,60.4,0.62
SE6 3HS,63.8,0.86
BR1 4JX,60.3,0.69
SE6 4DF,64.0,0.64
BR1 4JZ,60.5,0.79
SE8 3DP,63.8,0.79
SE13 5RZ,58.2,0.68
SE14 5FN,86.9,1.09
SE26 6QL,55.7,0.63
SE14 5NJ,66.2,0.73
SE26 4ED,59.3,0.59
SE6 1XX,59.2,0.7
SE23 3LZ,58.6,0.63
SE13 6TX,62.7,0.67
SE12 0PQ,88.2,1.1
SE8 3NT,65.2,0.73
SE8 3FF,84.9,1.06
SE14 5QJ,63.2,0.66
SE26 4LN,55.1,0.64
SE14 5DL,71.1,0.96
SE13 5HW,62.5,0.65
SE12 0ED,73.2,1.01
SE23 1EZ,61.3,0.61
SE6 3QJ,75.1,0.95
SE8 3PT,66.3,0.71
