outcode,epc,hpr,lat,long
CH5,63.5,0.9,53.2040122,-3.04214
CH7,62.3,0.92,53.1699651,-3.1322347
CH8,55.7,0.85,53.2830042,-3.2465239
CH4,66.9,0.95,53.165525,-2.9481695
LL18,54.2,0.89,53.3102991,-3.4760171
LL19,57.9,0.85,53.3311383,-3.4106208
CH6,65.5,0.91,53.2492592,-3.1443958
LL11,58.8,0.93,53.0634765,-3.0362413
CH1,55.6,0.9,53.2022603,-2.9089758
LL12,60.3,0.87,53.0875778,-2.9891854
CH51,30.0,0.4,nan,nan
