district,epc,hpr
CH5,63.5,0.9
CH7,62.3,0.92
CH8,55.7,0.85
CH4,66.9,0.95
LL18,54.2,0.89
LL19,57.9,0.85
CH6,65.5,0.91
LL11,58.8,0.93
CH1,55.6,0.9
LL12,60.3,0.87
CH51,30.0,0.4
