outcode,epc,hpr,lat,long
IP6,65.2,0.95,52.1326541,1.110843
IP31,63.3,0.96,52.2925866,0.8356002
IP14,65.1,0.95,52.206002,1.0312375
IP30,65.7,0.97,52.209224,0.8464525
IP21,56.2,0.9,52.3648604,1.2367254
IP13,57.0,0.91,52.18917,1.3206039
IP8,64.0,0.93,52.0630417,1.0792503
IP23,58.4,0.9,52.3073907,1.1200031
IP22,57.2,0.91,52.3759592,1.0527441
IP20,52.4,0.86,52.4065354,1.3191966
IP7,67.2,0.98,52.0687092,0.9424582
IP1,62.3,0.9,52.0668563,1.13956
IP32,87.0,1.18,52.2546724,0.7191907
IP17,65.0,1.12,52.2304463,1.5018473
IP19,20.0,0.46,52.3402509,1.4942442
IP24,78.0,1.08,52.419832,0.757916
