postcode,epc,hpr
NP26 5RB,65.3,0.95
NP7 8DG,59.6,0.99
NP7 5TA,65.5,0.94
NP7 9QA,78.9,1.1
NP15 1QB,46.7,0.63
NP16 5JH,60.4,0.92
NP26 4NG,63.9,0.84
NP26 5SG,62.4,0.87
NP25 4TL,53.6,0.87
NP26 4JN,71.2,0.9
NP18 1LT,46.8,0.84
NP15 1TW,55.5,0.96
NP16 5EB,67.1,0.93
NP25 3LH,65.0,0.96
NP15 2EF,62.0,0.93
NP7 5YE,60.9,0.72
NP16 5NL,67.1,0.83
NP25 5BX,71.6,1.03
NP7 8DE,54.7,0.83
NP26 4EA,69.9,0.86
NP4 0AR,75.1,0.99
NP4 0SY,52.4,0.87
NP15 1EB,57.0,0.85
NP15 1TN,78.6,1.07
NP7 5SP,65.1,0.91
NP25 4TF,41.8,0.82
NP16 6LY,45.1,0.91
NP15 1AU,56.6,0.66
NP7 5YB,55.8,0.68
NP25 3LE,73.3,0.98
NP16 5RF,67.9,0.91
NP25 4UA,61.8,0.96
NP7 9QE,83.0,1.16
NP26 5AG,78.2,1.1
NP16 5SW,70.5,0.98
NP26 4AA,74.1,0.91
NP4 0HF,48.5,0.8
NP26 3PB,64.6,0.99
NP7 6EQ,83.9,1.1
NP7 6NQ,69.3,1.02
NP25 5EJ,67.0,1.01
NP16 6AG,43.0,0.77
NP7 5DU,54.3,0.67
NP16 5QX,58.4,0.76
NP7 9FJ,78.9,0.95
NP7 6BP,58.2,0.76
NP15 1QW,71.2,1.02
NP15 1EY,45.4,0.8
NP7 5TL,61.3,0.85
NP25 3UY,63.8,0.82
NP26 3NT,71.2,0.99
NP16 5TX,65.9,0.97
NP4 0AL,59.2,0.88
NP15 1DQ,63.0,1.0
NP7 9HT,61.1,0.88
NP15 1SL,78.4,0.98
NP25 3JR,72.4,1.01
NP16 6JA,44.9,0.77
NP25 4BT,54.3,0.86
NP25 5DB,69.4,1.01
NP25 5BP,69.2,0.89
NP25 4PA,37.4,0.61
NP25 5DT,73.4,1.04
NP15 1NE,41.8,0.72
NP25 3PW,81.3,1.16
NP26 4EL,70.5,0.88
NP7 9EF,49.1,0.75
NP26 4EY,67.7,0.91
NP16 5JN,58.3,0.92
NP25 5RE,47.3,0.7
NP7 0RA,58.1,0.91
NP25 3UZ,71.1,0.9
NP7 5BH,53.6,0.68
NP16 6TH,48.1,0.79
NP16 5AQ,64.7,0.83
NP15 2BB,43.0,0.95
NP15 1PZ,70.2,1.03
NP15 1DN,57.2,0.93
NP7 0LL,44.8,0.79
NP16 6RW,65.0,0.88
NP26 5WE,84.4,1.17
NP25 3LZ,59.6,0.89
NP7 9HB,53.0,0.72
NP25 5GE,83.2,1.16
NP25 3DD,58.1,0.55
NP26 3JE,67.5,0.93
NP4 8AX,84.2,1.18
NP7 5DQ,75.6,1.0
NP4 0AP,61.6,0.93
NP7 6AQ,68.6,0.98
NP7 8AF,75.5,1.07
NP25 5FA,84.5,1.14
NP16 5BU,67.0,0.97
NP7 8UH,45.7,0.74
NP25 3SZ,60.9,0.85
NP15 1EF,51.5,0.93
NP7 5NB,72.8,1.01
NP26 4JX,64.9,0.83
NP7 8SW,44.4,0.77
NP16 5QY,67.3,0.98
NP26 5BJ,71.1,0.98
NP7 0HY,40.7,0.65
NP25 4QN,58.4,0.94
NP25 4RB,64.9,1.03
NP16 5SH,67.5,0.99
NP26 5SS,62.6,0.77
NP15 2AY,67.2,1.05
NP7 6LU,71.7,0.99
NP15 2EH,64.7,0.9
NP26 3QB,67.5,1.01
NP26 3LP,75.3,1.0
NP7 9PR,68.8,0.92
NP26 5RH,68.2,0.93
NP25 5UZ,84.2,1.17
NP16 5LJ,6.0,0.31
NP16 5DH,55.0,0.8
NP16 6EL,39.7,0.84
NP25 3EX,71.0,1.02
NP25 5BT,69.2,1.02
NP26 4JY,70.9,0.88
NP16 5SS,64.4,0.99
NP7 6PQ,83.7,1.16
NP16 5QS,65.4,0.9
NP26 5UE,80.6,1.11
NP4 0TY,37.1,0.72
NP15 2LJ,43.7,0.78
NP26 5AT,80.0,1.11
NP7 6DH,71.0,0.88
NP16 6QN,58.5,0.84
NP7 7BT,60.5,0.87
NP25 3NP,64.5,0.9
NP7 6PD,60.4,0.89
NP7 6HJ,66.0,0.97
NP7 9RF,60.7,0.77
NP7 8RH,48.1,0.76
NP15 1ES,70.3,0.94
NP15 1SE,58.3,0.88
NP7 8SN,48.7,0.78
NP15 1SW,64.9,0.99
NP26 3LR,67.7,0.96
NP26 5UZ,84.2,1.17
NP26 4HE,66.8,0.87
NP26 4DQ,67.5,0.91
NP7 0FA,83.6,1.17
NP7 7DH,56.0,0.67
NP7 6PP,77.7,0.99
NP7 0DF,54.0,0.87
NP25 5BD,72.3,0.86
NP16 5GB,79.2,1.02
NP7 9EW,31.8,0.62
NP7 6DA,65.2,0.94
NP4 0AZ,62.9,0.84
NP25 3NS,57.9,0.92
NP7 5JP,83.5,1.17
NP7 6DE,70.6,0.97
NP7 0PY,63.6,0.94
NP26 3FB,72.9,1.02
NP7 5HG,51.1,0.66
NP16 5WG,84.3,1.18
NP26 4NH,63.0,0.86
NP26 3QG,66.0,0.99
NP25 5SD,74.3,1.05
NP26 4HN,65.4,0.88
NP7 5JX,74.4,1.04
NP7 8BT,20.5,0.58
NP16 5EZ,59.4,0.65
NP26 4EE,66.4,0.89
NP26 4QJ,82.8,1.18
NP25 5TN,66.7,0.96
NP7 8PB,35.2,0.71
NP7 6BW,64.5,0.89
NP25 5GB,83.1,1.16
NP25 3PQ,63.1,0.9
NP7 5YD,53.9,0.62
NP7 6BE,60.0,0.74
NP25 5NL,46.2,0.77
NP7 6DD,71.3,0.95
NP4 0HA,67.8,0.9
NP7 5JW,74.1,1.02
NP26 4JW,67.1,0.88
NP15 1ND,47.7,0.9
NP25 5DD,65.8,0.96
NP26 3LB,72.6,0.98
NP26 4EN,66.8,0.92
NP16 6PG,61.9,0.94
NP7 6EY,79.4,1.03
NP7 8SY,48.3,0.88
NP25 5AS,72.0,0.96
NP7 0DD,59.2,0.75
NP25 3BR,37.5,0.56
NP16 5LA,58.3,0.88
NP7 5HS,58.2,0.79
NP7 9LA,41.2,0.55
NP25 4HZ,55.7,0.74
NP7 6JX,67.8,1.0
NP7 0LR,50.8,0.82
NP7 5JZ,69.6,1.03
NP26 5PQ,58.1,0.93
NP7 0PH,53.4,0.8
NP25 5US,83.4,1.18
NP7 9AZ,84.9,1.18
NP25 3TH,67.8,0.99
NP7 6ED,65.6,0.92
NP25 5AD,50.6,0.58
NP15 1UA,75.7,1.0
NP16 6QJ,46.9,0.77
NP16 5QT,51.2,0.73
NP26 5GD,72.8,0.98
NP25 5EA,75.7,1.04
NP16 5SA,64.0,0.94
NP16 6BH,49.0,0.9
NP26 3JX,68.4,0.98
NP16 5ET,48.3,0.71
NP16 5NA,60.6,0.93
NP26 4LF,66.1,0.96
NP16 5TN,71.2,1.01
NP7 9EL,39.5,0.63
NP25 4SF,65.1,1.0
NP25 3DL,59.2,0.67
NP4 0JD,58.7,0.78
NP16 5TQ,70.5,1.02
NP4 0DD,83.4,1.18
NP26 4RE,83.4,1.16
NP7 7RG,56.2,0.77
NP15 1BB,61.8,0.92
NP25 3JX,68.0,0.94
NP16 6EY,27.7,0.63
NP26 3EX,68.6,0.92
NP26 3SB,62.5,0.85
NP4 0HS,60.6,0.88
NP7 6AU,67.3,1.01
NP16 5UN,84.2,1.18
NP25 5FL,76.0,1.14
NP15 1RL,60.9,0.93
NP25 3BW,64.8,0.83
NP7 9LU,78.1,1.03
NP26 3BX,55.4,0.8
NP7 5LL,61.6,0.94
NP16 5AG,63.7,0.75
NP25 5GD,83.0,1.15
NP15 1PS,40.9,0.69
NP4 0AT,62.1,0.91
NP7 5BU,63.1,0.75
NP7 7EP,47.0,0.69
NP16 5NG,62.7,0.91
NP4 0HX,75.0,1.07
NP15 2DH,34.2,0.75
NP16 5DW,55.5,0.81
NP16 6LA,53.1,0.76
NP7 0HN,46.1,0.83
NP25 4TJ,56.4,0.87
NP25 3GD,63.3,0.85
NP7 0AP,57.6,0.71
NP16 6UG,66.7,1.01
NP16 5HQ,70.1,0.91
NP7 7BA,60.4,0.92
NP16 5NS,63.3,0.86
NP16 5SF,65.2,0.99
NP26 4GY,70.7,0.96
NP16 5NW,61.2,0.75
NP26 3PW,69.1,1.02
NP26 3AT,59.1,0.84
NP7 6EE,71.9,1.01
NP7 5BB,62.8,0.8
NP25 5QE,43.8,0.78
NP16 5TB,68.5,0.97
NP26 5BY,63.4,0.91
NP15 1AJ,60.2,0.9
NP16 5HJ,58.7,0.69
NP16 6HY,76.7,1.01
NP7 7RH,55.0,0.85
NP26 5AW,50.3,0.77
NP7 7AF,82.6,1.16
NP15 2BN,32.3,0.67
NP25 3JH,58.8,0.91
NP25 4JT,67.0,0.81
NP16 5NT,61.9,0.84
NP26 3AP,63.0,1.03
NP7 9LB,57.6,0.87
NP7 9XP,84.0,1.15
NP7 9SX,64.4,0.98
NP7 5YA,53.1,0.66
NP15 1TR,78.1,1.06
NP16 5BX,58.1,0.91
NP26 5AN,59.5,0.84
NP7 8EP,58.1,0.9
NP7 9ER,50.7,0.82
NP26 4QQ,67.4,1.0
NP15 2LQ,65.2,0.93
NP25 5BE,74.6,0.96
NP26 4DP,63.4,0.78
NP26 3FX,84.0,1.18
NP7 6PF,61.2,0.9
NP16 6SN,40.9,0.74
NP7 9DN,28.7,0.72
NP16 5LU,56.9,0.87
NP26 4NL,72.9,1.01
NP16 5ST,67.2,0.99
NP16 6DD,60.1,0.93
NP26 3FE,70.0,1.03
NP7 6DB,71.6,0.92
NP7 5DY,61.3,0.69
NP7 7NG,30.0,0.73
NP26 5UY,84.2,1.17
NP26 5PE,60.8,0.89
NP7 7AA,54.6,0.67
NP16 6AR,50.9,0.84
NP7 6PZ,83.3,1.16
NP7 8BB,29.4,0.62
NP25 3PX,82.8,1.11
NP25 4BY,61.6,0.95
NP7 0EP,44.5,0.72
NP16 5QF,72.2,0.96
NP7 9NY,64.2,0.87
NP15 2LD,61.0,0.85
NP16 5JS,60.8,0.86
NP25 5AN,58.6,0.82
NP26 4PJ,61.0,0.86
NP15 2EQ,72.2,0.98
NP16 5LX,71.8,0.99
NP26 4LH,66.5,0.97
NP26 4AE,62.7,0.87
NP26 3PP,69.5,0.98
NP16 5LH,73.0,0.96
NP7 6BJ,79.7,1.1
NP26 3US,33.0,0.82
NP7 8HD,47.6,0.77
NP25 3SH,74.0,0.7
NP16 5ND,60.9,0.87
NP7 5BQ,78.0,0.99
NP16 5UJ,65.8,0.97
NP7 8UA,56.1,0.84
