district,epc,hpr
NP26,68.3,0.95
NP7,61.6,0.87
NP15,58.2,0.86
NP16,62.8,0.89
NP25,63.9,0.91
NP18,49.3,0.82
NP4,65.9,0.96
NP44,44.2,0.77
GL16,52.1,0.82
NP5,102.0,1.2
NP8,62.6,0.93
NP23,58.5,0.77
