outcode,epc,hpr,lat,long
HA2,64.6,0.78,51.5736982,-0.3612317
HA7,65.3,0.84,51.6113081,-0.3106331
UB5,61.5,0.8,51.5431381,-0.3764324
HA5,60.8,0.77,51.5949876,-0.3862778
HA3,62.9,0.76,51.5937695,-0.3209409
HA8,62.9,0.77,51.6113532,-0.2739101
HA1,67.1,0.82,51.5799962,-0.3383049
HA4,60.7,0.76,51.5704138,-0.4107522
NW9,64.0,0.67,51.5881194,-0.2552637
WD23,50.8,0.63,51.6452717,-0.3580507
HA0,60.3,0.73,51.5513241,-0.3056919
HA6,50.0,0.71,51.6118666,-0.4224386
PL19,77.0,1.1,50.5565609,-4.1547903
