outcode,epc,hpr,lat,long
W2,66.6,0.71,51.5151251,-0.1854875
W1U,65.6,0.72,51.5187153,-0.1534804
SW1V,67.6,0.71,51.4894932,-0.1399734
SW1W,68.8,0.78,51.4925553,-0.1509311
SW1X,61.4,0.67,51.4982019,-0.1566313
W1F,69.3,0.83,51.5134975,-0.1364725
NW8,67.0,0.72,51.5322682,-0.1745786
W1W,69.0,0.76,51.5192066,-0.1409008
NW1,66.1,0.71,51.5332718,-0.1438882
W9,66.0,0.68,51.5247242,-0.1926416
W1H,65.7,0.68,51.517687,-0.1611043
SW1P,70.5,0.81,51.4900482,-0.133214
W10,66.6,0.73,51.5230766,-0.2176568
WC2E,67.5,0.81,51.5118792,-0.1233747
W1G,63.5,0.65,51.5193162,-0.1482679
NW6,67.7,0.72,51.542172,-0.1962878
W1T,73.0,0.85,51.5202472,-0.1367101
W1J,63.4,0.7,51.5079068,-0.1450205
SW7,64.3,0.7,51.4962781,-0.1770136
SW1E,73.0,0.87,51.4979064,-0.1397427
W1D,62.2,0.76,51.5133117,-0.1327615
W11,66.4,0.71,51.512272,-0.2164413
WC2B,66.5,0.76,51.5149298,-0.1204399
WC2N,68.5,0.79,51.509081,-0.1248873
SW1H,76.8,0.92,51.4987321,-0.1337132
WC2A,84.5,1.06,51.5162229,-0.1142197
W1K,64.1,0.7,51.5111191,-0.1510369
W1S,69.7,0.85,51.5112227,-0.1423455
WC2H,64.6,0.73,51.5133603,-0.1273492
SW1Y,65.0,0.75,51.5074759,-0.1345996
W1B,70.6,0.79,51.5143738,-0.1409766
WC2R,78.4,0.99,51.5116889,-0.1183208
SW1A,65.9,0.76,51.5044592,-0.1321624
SW3,68.5,0.79,51.4891244,-0.1657226
W1C,71.2,0.93,51.5144348,-0.1491314
SE18,83.4,1.07,51.4843462,0.0726765
W6,66.0,0.65,51.4926401,-0.2287797
WC1G,51.0,0.57,nan,nan
W1,64.3,0.74,nan,nan
W1X,57.5,0.56,nan,nan
SW1,71.0,0.72,nan,nan
W1N,72.0,0.7,nan,nan
WD10,69.0,0.7,nan,nan
