outcode,epc,hpr,lat,long
LL57,59.9,0.83,53.2068931,-4.1118949
LL54,47.6,0.77,53.0580643,-4.2875015
LL49,54.4,0.78,52.9290448,-4.1379154
LL53,46.8,0.78,52.8841626,-4.4927499
LL41,49.1,0.73,52.9694465,-3.9393403
LL55,54.6,0.81,53.1332669,-4.2035215
LL35,51.4,0.74,52.5467868,-4.0413751
LL36,54.5,0.84,52.6042624,-4.0644733
SY20,38.5,0.69,52.6147887,-3.81884
LL23,52.2,0.8,52.9052232,-3.6018542
LL46,45.7,0.81,52.8552904,-4.1072866
LL40,51.0,0.78,52.7567851,-3.8749667
LL52,52.1,0.78,52.9248691,-4.2409055
LL48,52.0,0.8,52.9360472,-4.0696243
LL42,54.8,0.75,52.7257676,-4.0552734
LL56,59.8,0.84,53.1843564,-4.2059205
LL51,40.4,0.73,52.9740004,-4.2389782
LL39,38.1,0.68,52.7102009,-4.0123647
LL43,44.0,0.86,52.774527,-4.0923764
LL45,44.2,0.78,52.8220907,-4.0961914
LL44,42.8,0.79,52.7909039,-4.0972031
LL38,43.5,0.82,52.6953036,-4.0503008
LL37,42.2,0.78,52.6659968,-4.0837468
LL47,38.7,0.73,52.9020279,-4.0628852
LL21,47.7,0.79,52.9900548,-3.4102899
LL33,46.3,0.74,53.2507498,-3.9789879
